No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,BIRD,Allbirds Inc,153.9,115.72,3155.93,233541932,17.67,609.52%
2,AGAE,Allied Gaming & Entertainment Inc,28.48,5840.45,110.94,414356320,0.76,130.24%
3,IMMP,Immutep Limited ADR,92.47,1436.75,715.26,657166962,0.63,99.33%
4,HUBC,Hub Cyber Security Ltd,0.55,18948.68,24.28,294258160,0.25,97.17%
5,XNDU,Xanadu Quantum Technologies Ltd,1063.72,556.78,16.69,5942767,24.58,65.71%
6,PPCB,Propanc Biopharma Inc,3.19,2219.11,8.58,12175243,0.15,56.51%
7,VSA,VisionSys AI Inc ADR,0.7,6906.67,44.66,197257490,0.89,47.90%
8,QBTX,Tradr 2X Long QBTS Daily ETF,,1630.94,5.44,5672626,14.73,40.07%
9,CUE,Cue Biopharma Inc,59.87,7671.31,10.19,50003530,0.61,39.95%
10,IONX,Defiance Daily Target 2X Long IONQ ETF,,1616.49,6.6,6824275,41.66,36.41%
11,IONL,GraniteShares 2x Long IONQ Daily ETF,,526.6,10.14,3415480,21.71,36.37%
12,MNTS,Momentus Inc,38.62,1540.94,13.7,13496447,6.74,35.89%
13,WATT,Energous Corp,121.81,387.34,6.64,1645323,22.14,35.02%
14,QPUX,Defiance 2X Daily Long Pure Quantum ETF,,109.64,6.02,422020,28.22,34.25%
15,RETO,ReTo Eco-Solutions Inc,13.45,804.65,32.2,16570586,1.12,33.21%
16,SKLZ,Skillz Inc,57.57,63.72,20.44,832725,3.69,31.79%
17,QUBX,Tradr 2X Long QUBT Daily ETF,,200.22,5.77,738756,13.5,31.20%
18,SOPA,Society Pass Inc,5.76,1116.09,49.14,35069581,0.45,29.35%
19,NOTV,Inotiv Inc,10.77,452.54,11.84,3426392,0.31,27.71%
20,NCI,Neo Concept International Group Holdings Ltd,2.64,3560.59,37.01,84272663,0.65,27.53%
21,COSM,Cosmos Health Inc,15.42,769.8,14.82,7294072,0.41,23.32%
22,NNBR,NN Inc,96.62,399.4,42.18,10773410,1.92,22.61%
23,PDSB,PDS Biotechnology Corporation,72,644.48,5.51,2269021,1.29,21.70%
24,GPRO,GoPro Inc,178.48,4752.76,5.74,17439653,1.07,21.66%
25,NXXT,NextNRG Inc,68.01,1858.54,11.96,14220586,0.51,21.63%
26,BULG,Leverage Shares 2X Long BULL Daily ETF,,425.42,6.1,1658561,1.79,20.93%
27,BULX,GraniteShares 2x Long BULL Daily ETF,,16.04,12.34,126541,4.03,19.55%
28,ALMU,Aeluma Inc,304.79,810.47,5.19,2690406,16.93,18.72%
29,NEXA,Nexa Resources S.A,1872.69,702.56,12.66,5689125,14.14,18.43%
30,HOOX,Defiance Daily Target 2X Long HOOD ETF,,109.15,6.25,436107,29.38,18.18%
31,EOSU,T-REX 2X Long EOSE Daily Target ETF,,48.53,7.25,224939,41.04,18.10%
32,HODU,Direxion Daily HOOD Bull 2X ETF,,88.39,10,565200,10.65,18.07%
33,OKLL,Defiance Daily Target 2x Long OKLO ETF,,4995,5.88,18772421,9.44,16.40%
34,QSI,Quantum-Si Incorporated,211.56,3783.17,5.42,13104175,0.98,16.29%
35,XBP,XBP Global Holdings Inc,35.3,11.97,5.31,40611,3,14.94%
36,ARQQ,Arqit Quantum Inc,250.43,223.45,6.13,875665,16,14.53%
37,VNCE,Vince Holding Corp,42.68,57.13,17.9,653903,3.2,13.88%
38,BNBX,BNB Plus Corp,3.69,213.69,9.31,1272103,0.65,13.11%
39,SHIM,Shimmick Corp,191.12,88.51,13.06,739266,5.3,11.96%
40,CIIT,Tianci International Inc,5.51,436.73,64.91,18129375,1.52,10.51%
41,HOUR,Hour Loop Inc,72.83,14.16,6.26,56676,2.07,9.52%
42,LIMN,Liminatus Pharma Inc,8.82,9391.21,16.79,100836972,0.2,9.34%
43,OKTG,Leverage Shares 2X Long OKTA Daily ETF,,12.52,9.95,79639,8.01,8.60%
44,HQ,Horizon Quantum Holdings Ltd,572.52,41.17,17.22,453204,11.1,6.94%
45,ACTU,Actuate Therapeutics Inc,52.28,83.79,5.69,304974,2.2,6.01%
46,MTC,Mmtec Inc,902.26,47.93,6.58,201579,9.06,5.59%
47,MKZR,Mackenzie Realty Capital Inc,6.84,15.47,8.81,87101,3.48,5.45%
48,INO,Inovio Pharmaceuticals Inc,95.87,1439.38,6.1,5612586,1.17,5.41%
49,ARKR,Ark Restaurants Corp,25.56,1.95,7.37,9185,7.09,4.73%
50,LAES,SEALSQ Corp,621.74,8656.99,6.22,34444208,2.7,4.25%
51,ONEG,OneConstruction Group Ltd,62,424.67,14.05,3814485,3.88,4.17%
52,WQTM,WisdomTree Quantum Computing Fund,,30.76,5.86,115282,29.62,3.52%
53,FNWB,First Northwest Bancorp,94.52,41.94,6.75,180992,9.95,3.11%
