No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,CUE,Cue Biopharma Inc,60.55,3560.53,75.87,124056921,0.62,111.71%
2,RAYA,Erayak Power Solution Group Inc,0.78,1757.81,367.86,296948265,0.87,90.05%
3,CREG,Smart Powerr Corp,14.33,2551.78,311,364449001,0.62,83.24%
4,FUSE,Fusemachines Inc,44.57,3647.66,34.84,58356547,1.54,81.18%
5,SKYQ,Sky Quarry Inc,42.38,5665.25,6.01,15627351,11.28,54.73%
6,UCAR,U Power Ltd,5.88,10342.24,6.32,30007612,2.39,45.60%
7,ZNTL,Zentalis Pharmaceuticals Inc,435.52,1030.47,67.28,31838922,6.14,38.91%
8,AIXI,Xiao-I Corp ADR,18.15,46391.19,5.21,110972453,1.35,36.13%
9,MAXN,Maxeon Solar Technologies Ltd,29.9,1844.65,6.89,5840220,1.77,34.09%
10,TMCI,Treace Medical Concepts Inc,124.01,704.24,28.34,9166830,1.92,25.49%
11,SQFT,Presidio Property Trust Inc,5.07,13.35,7308.9,44817249,3.51,24.47%
12,ALOY,REalloys Inc,732.33,940.66,7.09,3063183,12.24,23.89%
13,OGN,Organon & Co,2225.7,4821.49,11.63,25745437,8.55,23.73%
14,MGN,Megan Holdings Ltd,4.08,10336.67,18.13,86064014,0.25,23.33%
15,WGRX,Wellgistics Health Inc,13.28,4443.93,92.68,189139530,0.13,19.43%
16,TPST,Tempest Therapeutics Inc,25.96,148.55,10.86,740712,1.81,14.56%
17,MRVU,Direxion Daily MRVL Bull 2X ETF,,33.01,5.62,85139,55.21,13.57%
18,ISPC,iSpecimen Inc,4.32,9083.2,77.43,322975110,0.15,11.84%
19,CURR,Currenc Group Inc,270.44,162.56,5.88,438746,3.53,11.71%
20,SPIR,Spire Global Inc,698.82,926.47,8.61,3665177,19.96,11.38%
21,LNKS,Linkers Industries Ltd,3.44,349.83,133.83,21500495,2.14,9.18%
22,IPST,IP Strategy Holdings Inc,3.62,2929.14,13.98,18803251,0.38,8.31%
23,VTSI,VirTra Inc,48.04,44.09,7.58,153374,4.25,7.87%
24,SMX,SMX (Security Matters) Plc,19.47,910.97,5.4,2257163,6.73,7.47%
25,PROP,Prairie Operating Co,112.18,3652.88,5.54,9290793,1.47,6.16%
26,MDAA,Myriad Dynamic Asset Allocation ETF,,1,10.7,4907,113.69,6.13%
27,INHD,Inno Holdings Inc,1.69,4876.15,5.95,13329953,0.2,5.14%
28,GAME,GameSquare Holdings Inc,32.42,5788.69,5.08,13499805,0.34,4.93%
29,CLSZ,Tradr 2X Short CLSK Daily ETF,,20.36,8.43,78833,15.7,3.90%
