No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,UGRO,Urban-gro Inc,27.3,3272.94,23.83,78006607,36.29,416.95%
2,RMSG,Real Messenger Corp,3.24,584.59,432.98,253115415,0.64,84.33%
3,NXTT,Next Technology Holding Inc,8.64,128.77,471.96,60775190,1.77,77.00%
4,MKDW,MKDWELL Tech Inc,25.04,193.52,11.79,2281083,5.23,70.36%
5,SRPU,Tradr 2X Long SRPT Daily ETF,,36.83,8.05,296661,15.01,70.03%
6,ITOC,iTonic Holdings Ltd,7.06,1620.96,80.6,130656859,0.41,45.25%
7,ASBP,Aspire Biopharma Holdings Inc,5.67,998.44,7.41,7401571,1.13,40.72%
8,PAYS,PaySign Inc,283.47,390.52,24.19,9446498,5.15,36.60%
9,TOP,TOP Financial Group Limited,31.24,56.52,665.14,37593306,0.84,35.51%
10,SRPT,Sarepta Therapeutics Inc,2495.61,2633.48,6.48,17061186,23.77,34.98%
11,BTBD,BT Brands Inc,11.04,92.39,18.7,1727260,1.86,30.99%
12,EPOW,E-Power Inc,37.54,139.16,5.63,783148,0.97,28.86%
13,LUD,Luda Technology Group Ltd,,44.2,5.16,228187,4.24,25.82%
14,KSCP,Knightscope Inc,68.34,367.48,11.42,4195915,5.2,23.52%
15,EEIQ,EpicQuest Education Group International Limited,4.04,43.48,5.98,259879,2.73,22.43%
16,MPTI,M-tron Industries Inc,225.76,43.83,11.08,485494,77.06,20.61%
17,CORT,Corcept Therapeutics Inc,4304.96,2293.83,5.12,11739495,40.47,19.66%
18,AIHS,Senmiao Technology Ltd,7.98,23.97,36.47,874272,1.75,18.24%
19,ARMH,Arm Holdings PLC ADRhedged,,0.9,13.23,11916,66.56,16.50%
20,QNRX,Quoin Pharmaceuticals Ltd ADR,5.47,28.12,147.36,4143800,9.27,15.88%
21,DXYZ,Destiny Tech100 Inc,441.27,1104.68,12.9,14248799,30.58,15.31%
22,SATG,Leverage Shares 2X Long SATS Daily ETF,,34.25,7.06,241839,17.44,14.74%
23,ELVN,Enliven Therapeutics Inc,2124.71,1108.97,5.79,6420526,35.53,14.06%
24,CDLX,Cardlytics Inc,58.36,911.4,5.43,4950806,1.06,12.89%
25,INVE,Identiv Inc,93.35,48.45,11.12,538548,3.93,12.61%
26,HYFM,Hydrofarm Holdings Group Inc,5.88,40.25,5.29,213005,1.26,12.50%
27,BZAI,Blaize Holdings Inc,151.34,2940.25,17.45,51305651,1.24,11.71%
28,HCTI,Healthcare Triangle Inc,3.38,568.61,6.45,3666254,2.92,11.45%
29,ENLV,Enlivex Ltd,284.86,342.17,36.76,12578870,1.2,9.09%
30,ENGS,Energys Group Ltd,15.86,111.41,18.61,2073378,1.11,8.82%
31,DOMH,Dominari Holdings Inc,51.26,140.88,5.08,715083,3.16,7.85%
32,ONEG,OneConstruction Group Ltd,35.76,289.69,5.06,1466272,2.23,6.94%
33,ORBS,Eightco Holdings Inc,256.43,15058.58,6.9,103926820,1.28,6.67%
34,ADVB,Advanced Biomed Inc,5.86,144.09,10.82,1558538,4.3,6.44%
35,NUCL,Eagle Nuclear Energy Corp,72.42,134.11,5.14,688980,7.33,5.77%
36,TERN,Terns Pharmaceuticals Inc,5620.59,2208.13,36.83,81332755,52.86,5.72%
37,GSUI,Grayscale Sui Staking ETF,,13.17,54.19,713765,13.96,3.70%
38,BNR,Burning Rock Biotech Ltd ADR,185.11,24.28,5.54,134452,20.5,3.48%
39,MI,NFT Ltd,1.48,397.64,148.03,58863618,0.29,2.91%
40,PAYH,TrueShares S&P Autocallable High Income ETF,,16.63,5.4,89776,23.24,2.83%
41,INEO,INNEOVA Holdings Ltd,7.74,143.63,6.17,886022,0.47,2.68%
42,UEVM,VictoryShares USAA MSCI Emerging Markets Value Momentum ETF,,4.13,34.06,140574,57.61,2.60%
43,PRPO,Precipio Inc,47.72,15.06,5.85,88102,27.24,2.41%
44,IYM,iShares U.S. Basic Materials ETF,,178.49,7.47,1332903,172.42,2.22%
45,SFD,"Smithfield Foods, Inc",9823.89,953.26,6.32,6025602,24.99,2.08%
46,IFV,First Trust Dorsey Wright International Focus 5 ETF,,57.32,7.62,436855,25.3,2.06%
47,CRDL,Cardiol Therapeutics Inc,119.5,381.66,6.97,2658521,1.07,1.90%
48,CEFA,Global X S&P Catholic Values Developed ex-U.S. ETF,,7.9,7.8,61614,36.99,1.67%
49,SLND,Southland Holdings Inc,71.43,152.79,26.01,3973433,1.32,1.54%
50,SMC,Summit Midstream Corp,609.33,58.19,5.43,316261,32.13,1.48%
51,WIMA,WisdomTree International Adaptive Moving Average Fund,,1.83,732.98,1342811,38.89,1.39%
52,LDEM,iShares ESG MSCI EM Leaders ETF,,2.1,27.59,57839,58.11,1.39%
53,HUBC,Hub Cyber Security Ltd,0.52,990.5,166.93,165341442,0.23,1.38%
54,VTWV,Vanguard Russell 2000 Value Index ETF,,34.91,8.85,309125,168.57,1.19%
55,TKNQ,Amplify Tokenization Technology ETF,,1.54,5.33,8193,22.54,1.15%
56,IJS,iShares S&P Small-Cap 600 Value ETF,,330.26,13.26,4378497,119.06,1.05%
57,TMAR,FT Vest Emerging Markets Buffer ETF - March,,2.21,17.49,38622,23.8,1.05%
58,IJK,iShares S&P Mid-Cap 400 Growth ETF,,236.35,20.44,4832150,102.59,1.02%
59,WSGE,Warren Street Global Equity ETF,,6.12,58.9,360452,24.8,0.98%
60,FNY,First Trust Mid Cap Growth AlphaDEX Fund,,24.83,5.78,143499,92.12,0.97%
61,ACSI,American Customer Satisfaction ETF,,0.24,5.25,1259,65.26,0.93%
62,VALN,Valneva SE ADR,557.54,40.39,9.2,371672,6.48,0.93%
63,YYGH,YY Group Holding Ltd,6.95,431.05,11.07,4771845,1.09,0.93%
64,ESML,iShares ESG Aware MSCI USA Small-Cap ETF,,157.21,9.36,1471881,47.54,0.91%
