No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,PFSA,Profusa Inc,2.62,590.18,1917.9,172399878,1.93,154.62%
2,FCUV,Focus Universal Inc,7.47,30.39,7472.65,34583678,7.3,118.56%
3,AIXI,Xiao-I Corp ADR,3.3,10936.4,218.88,364587473,0.25,87.45%
4,MAXN,Maxeon Solar Technologies Ltd,20.91,281.59,478.03,20501885,1.24,80.87%
5,SMX,SMX (Security Matters) Plc,35.11,515.49,13.75,1079295,12.13,43.36%
6,AIB,BlockchAIn Digital Infrastructure Inc,159.06,1687.96,249.92,64252341,1.61,38.36%
7,MLEC,Moolec Science SA,6.76,1347.5,38.43,7887015,9.3,33.81%
8,CREG,Smart Powerr Corp,7.97,1954.78,54.24,16147957,0.35,32.20%
9,SLNO,Soleno Therapeutics Inc,2692.22,1686.04,132.56,34040521,52.15,32.06%
10,WBUY,Webuy Global Ltd,4.65,370.25,706.12,39819852,1.24,31.23%
11,SELX,Semilux International Ltd,25.34,1665.33,24.67,6257653,0.67,27.62%
12,RCMT,"RCM Technologies, Inc",173.47,45.05,5.73,39284,23.41,21.29%
13,FUBO,fuboTV Inc,1266.49,1500.3,8.13,1857627,11.69,19.60%
14,RENX,RenX Enterprises Corp,6.02,2960.33,23.2,10460942,2.4,18.82%
15,REBN,Reborn Coffee Inc,15.78,88.82,8.76,118561,2.64,18.39%
16,PFAI,Pinnacle Food Group Ltd,46.15,15.79,8.89,21391,3.94,17.76%
17,SPCE,Virgin Galactic Holdings Inc,235.28,3521.23,18.35,9843560,2.89,17.48%
18,PRFX,PRF Technologies Ltd,2.07,524.57,315.95,25243364,2.46,17.14%
19,DEFT,DeFi Technologies Inc,316.42,5409.22,17.62,14519917,0.82,15.12%
20,AEHR,Aehr Test Systems,1560.43,1628.49,11.98,2972371,50.95,14.96%
21,LWLG,Lightwave Logic Inc,1306.76,3560.18,6.62,3589609,8.78,14.62%
22,ANVS,Annovis Bio Inc,73.72,451.54,10.74,738425,2.6,14.04%
23,TOYO,TOYO Co Ltd,369.67,90.73,12.61,174240,10.47,12.58%
24,BTBD,BT Brands Inc,12.6,192.14,164.49,4813753,2.12,12.24%
25,SIDU,Sidus Space Inc,229.83,20466.47,7.11,22168204,3.45,11.81%
26,SCKT,Socket Mobile Inc,7.81,108.21,49.44,814872,0.95,8.57%
27,ZSPC,Zspace Inc,4.24,1453.12,564.42,124917876,0.11,7.65%
28,CDLX,Cardlytics Inc,66.61,1052.4,6.72,1076655,1.21,7.07%
29,AAOX,Tradr 2X Long AAOI Daily ETF,,1000.94,7.54,1148912,28.14,6.87%
30,MDA,MDA Space Ltd,3675.8,305.65,6.78,315850,29.06,6.80%
31,XRPK,T-REX 2X Long XRP Daily Target ETF,,4.47,6.72,4505,7.93,5.94%
32,ORKA,Oruka Therapeutics Inc,2790.99,564.05,5.82,500057,56.33,5.67%
33,DRAM,Roundhill Memory ETF,,2530.24,6.72,2588302,29.33,5.67%
34,IOTR,iOThree Ltd,6.64,1380.59,35.01,7361875,2.59,5.58%
35,DSWL,"Deswell Industries, Inc",49.88,10.93,10.87,17807,3.13,5.39%
36,HUIZ,Huize Holding Ltd ADR,12.83,10.07,8239.67,12633336,1.5,4.55%
37,VVOS,Vivos Therapeutics Inc,14.45,122.51,115.23,2150189,1.38,4.55%
38,MSII,REX MSTR Covered Call ETF,,15.47,5.83,13524,6.14,4.42%
39,MSTK,Tuttle Capital MSTR 0DTE Covered Call ETF,,1.72,21.93,5660,7.2,4.07%
40,AAOI,Applied Optoelectronics Inc,8082.75,8787.8,5.04,6752330,107.49,3.44%
41,CBTA,Calamos Bitcoin 80 Series Structured Alt Protection ETF - April,,1.89,8.39,2384,21.79,3.42%
42,YBMN,Defiance BMNR Option Income ETF,,6.7,16.84,16899,15.14,3.29%
43,PCSA,Processa Pharmaceuticals Inc,7.61,58.94,22.39,200964,2.86,3.25%
44,STRR,Star Equity Holdings Inc,37.26,9.43,11.07,15654,10.05,3.10%
