No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,TPET,Trio Petroleum Corp,19.55,15477.62,25.7,397791876,1.59,87.28%
2,TURB,Turbo Energy S.A. ADR,33.28,2643.69,18.5,48909684,3.02,79.76%
3,STAK,Stak Inc,,3528.29,15.22,53691713,1,62.15%
4,IBO,Impact BioMedical Inc,7.83,782.74,262.41,205395656,0.64,55.46%
5,ALTO,Alto Ingredients Inc,310.92,1073.7,25.34,27203857,4.02,54.62%
6,GXAI,Gaxos.AI Inc,15.63,7835.87,27.92,218755841,1.81,45.97%
7,PMTS,CPI Card Group Inc,200.42,45.06,11.84,533287,17.6,41.25%
8,TNYA,Tenaya Therapeutics Inc,177.39,5085.41,6.33,32182147,0.82,40.92%
9,CDTG,CDT Environmental Technology Investment Holdings Ltd,5.49,668.3,16.75,11194811,0.45,40.35%
10,TTDU,T-REX 2X Long TTD Daily Target ETF,,160.85,11.92,1917397,8.78,36.76%
11,TNGX,Tango Therapeutics Inc,2266.61,2888.51,6.23,18006233,16.83,36.28%
12,PDYN,Palladyne AI Corp,418.7,3423.31,12.08,41340664,9.96,34.05%
13,GBR,New Concept Energy Inc,5.6,131.8,190.81,25148545,1.09,29.92%
14,OLOX,Olenox Industries Inc,11.05,896.85,15.34,13753803,1.15,27.76%
15,ANTX,AN2 Therapeutics Inc,46.86,96.99,15.93,1544839,1.71,27.61%
16,BHAT,Blue Hat Interactive Entertainment Technology,1.37,20064.29,74.77,1500158264,0.04,27.18%
17,SMSI,"Smith Micro Software, Inc",17.14,158.74,45.73,7258763,0.68,25.93%
18,OKTG,Leverage Shares 2X Long OKTA Daily ETF,,5.46,24.7,134993,12.1,22.27%
19,JEM,707 Cayman Holdings Ltd,,6645.02,7.26,48268995,0.09,21.62%
20,MXC,Mexco Energy Corp,26.85,18.14,14.22,257894,13.12,21.48%
21,ANNA,AleAnna Inc,255.96,58.21,11.69,680626,3.84,19.25%
22,EONR,EON Resources Inc,30.48,6629.55,6.23,41330754,0.61,19.19%
23,TTD,Trade Desk Inc,14179.37,15284.97,5.41,82649529,29.79,18.36%
24,FTRK,Fast Track Group,12.08,122.6,5.47,670294,0.55,15.96%
