No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,FUSE,Fusemachines Inc,52.96,3647.66,34.79,126887307,1.83,115.29%
2,RAYA,Erayak Power Solution Group Inc,3.4,1757.81,239.44,420893822,0.95,107.94%
3,CREG,Smart Powerr Corp,14.5,2551.78,173.02,441516233,0.63,85.41%
4,SKYQ,Sky Quarry Inc,47.31,5665.25,8.04,45574438,12.59,72.70%
5,CUE,Cue Biopharma Inc,49.02,3560.53,65.25,232319098,0.5,71.36%
6,ZNTL,Zentalis Pharmaceuticals Inc,468.85,1030.47,44.97,46334982,6.61,49.55%
7,SQFT,Presidio Property Trust Inc,5.61,13.35,3659.46,48862857,3.89,37.94%
8,IPST,IP Strategy Holdings Inc,4.38,2929.14,7.22,21151809,0.46,30.86%
9,TPST,Tempest Therapeutics Inc,29.41,148.55,11.53,1712842,2.05,29.75%
10,OGN,Organon & Co,2298.59,4821.49,8.19,39485134,8.83,27.79%
11,NVVE,Nuvve Holding Corp,3.57,864.01,11.73,10138366,0.67,21.65%
12,SPIR,Spire Global Inc,754.85,926.47,6.75,6257687,21.56,20.31%
13,MGN,Megan Holdings Ltd,3.97,10336.67,8.9,91987627,0.24,19.89%
14,TMCI,Treace Medical Concepts Inc,116.91,704.24,15,10564091,1.81,18.30%
15,SOAR,Volato Group Inc,4.65,3898.96,6.67,26000244,0.29,15.85%
16,WGRX,Wellgistics Health Inc,12.58,4443.93,48.41,215110271,0.12,13.21%
17,LNKS,Linkers Industries Ltd,3.49,349.83,64.95,22723113,2.17,10.71%
18,PLCE,Childrens Place Inc,88.01,251.04,8.39,2106223,3.97,10.28%
19,BENF,Beneficient,57.99,478.09,26.7,12765641,4.08,10.27%
20,CVLT,Commvault Systems Inc,3908,1112.22,5.09,5657540,88.87,10.25%
21,LOBO,Lobo Technologies Ltd,4.77,67.65,77.83,5264944,0.54,8.26%
22,VTSI,VirTra Inc,47.59,44.09,5.39,237514,4.21,6.85%
23,HKIT,Hitek Global Inc,10.34,692.84,5.34,3700397,1.2,6.19%
24,ANABV,AnaptysBio Inc - When Issued - April 2026,2015.25,1.59,7.02,11149,46.87,5.33%
25,UBCP,"United Bancorp, Inc. (Martins Ferry, OH)",93.38,5.72,49.33,282043,16.22,4.98%
