No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,NCI,Neo Concept International Group Holdings Ltd,6.35,636.72,124.06,53785076,1.56,100.19%
2,DXST,Decent Holding Inc,7.32,2639.61,65.7,118088717,0.3,72.64%
3,RENX,RenX Enterprises Corp,1.93,8515.06,134.02,777013017,0.22,55.29%
4,QNCX,Quince Therapeutics Inc,44.17,28625.2,34.46,671666356,0.79,50.33%
5,VRTL,GraniteShares 2x Long VRT Daily ETF,,97.61,7.29,484442,99.28,37.98%
6,HTLM,HomesToLife Ltd,257.41,16.09,406.26,4434184,2.87,35.38%
7,MNTN,MNTN Inc,798.01,633.24,12.79,5516185,10.9,34.05%
8,STIM,Neuronetics Inc,132.12,1716.53,16.25,18989664,1.93,32.14%
9,SIF,SIFCO Industries Inc,51.79,17.05,41.19,476354,8.39,28.68%
10,CTW,CTW Cayman,119.68,123.77,6.91,580117,1.92,27.02%
11,TDC,Teradata Corp,3432.56,1421.24,8.08,7818189,36.83,26.00%
12,AEHR,Aehr Test Systems,1034.9,876.21,6.94,4141774,33.79,25.94%
13,COCH,Envoy Medical Inc,14.09,281.19,9.28,1770447,0.49,24.88%
14,RBKB,Rhinebeck Bancorp Inc,170.08,8.35,24.11,136571,15.26,24.88%
15,SUNE,SUNation Energy Inc,6.27,1259.68,71.57,61383099,1.84,23.49%
16,KIDZ,Classover Holdings Inc,5.86,1114.68,614.57,466444808,0.19,22.41%
17,WCT,Wellchange Holdings Co. Ltd,24.71,176.73,8.59,1029834,0.17,22.37%
18,PHIO,Phio Pharmaceuticals Corp,13.89,2993.93,6.5,13200733,1.29,15.18%
19,TDIC,Dreamland Ltd,5.42,3043.78,5.77,11922853,0.17,14.76%
20,NKTR,Nektar Therapeutics,1304.51,901.72,5.33,3271287,64.13,14.52%
21,WXM,WF International Ltd,4.49,199.47,9.21,1246332,0.52,13.56%
22,SHPD,Direxion Daily SHOP Bear 1X ETF,,6.95,6.88,32457,23.73,10.53%
23,LGO,Largo Inc,154.79,883.1,8.95,5381381,1.85,10.12%
24,NETX,Tradr 2X Long NET Daily ETF,,13.17,7.69,68730,16.19,8.78%
25,NETG,Leverage Shares 2X Long NET Daily ETF,,28.97,24.77,486983,10.82,8.59%
26,DRIO,DarioHealth Corp,74.15,23.23,9.43,148645,10.97,6.64%
27,DTIL,Precision Biosciences Inc,96.41,222.22,6.06,917620,4.01,6.52%
28,SEER,Seer Inc,104.6,173.58,8.94,1052263,1.88,5.93%
29,DFSC,DEFSEC Technologies Inc,4.3,64.21,9.36,409224,2.16,5.88%
30,STFS,Star Fashion Culture Holdings Ltd,5.13,1787.62,10.76,13051397,0.11,5.39%
31,AZN,Astrazeneca plc,315443.12,381.49,7.12,1849078,203.45,5.20%
32,GLDD,Great Lakes Dredge & Dock Corporation,1150.2,621.63,25.25,10688541,16.91,4.80%
33,BMM,Blue Moon Metals Inc,240.79,38.72,7.55,198473,3.77,3.86%
34,DVXE,WEBs Energy XLE Defined Volatility ETF,,0.09,12.58,743,35.07,3.70%
35,EHLD,Euroholdings Ltd,17.97,4.18,5.99,16992,6.38,3.39%
36,DXR,Daxor Corp,73.49,4.76,10.02,32344,12.6,3.32%
37,FPA,First Trust Asia Pacific ex-Japan AlphaDEX Fund,,2.48,5.47,9187,46.23,3.30%
