No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,QNCX,Quince Therapeutics Inc,29.39,2966.97,532.59,1580191566,0.53,305.92%
2,JZXN,Jiuzi Holdings Inc,3.59,758.7,102.06,77432645,2.58,89.71%
3,EVMN,Evommune Inc,915.14,227.06,70.35,15973500,29.03,70.87%
4,HURA,TuHURA Biosciences Inc,78.94,858.79,25.47,21871920,1.3,60.47%
5,FGL,Founder Group Ltd,4.23,34.35,24.83,853037,15.44,55.96%
6,NKTR,Nektar Therapeutics,1139.12,772.14,11.29,8715329,56,51.07%
7,CNET,ZW Data Action Technologies Inc,3.4,11.83,1884.85,22302278,1.04,49.98%
8,EWCZ,European Wax Center Inc,310.94,405.35,28.9,11713162,5.72,43.00%
9,SUNE,SUNation Energy Inc,5.08,1028.01,14.12,14517373,1.49,41.90%
10,ESOA,Energy Services of America Corp,210.79,159.99,9.33,1492059,12.68,33.47%
11,ICHR,Ichor Holdings Ltd,1556.58,789.93,7.21,5694871,45.27,32.72%
12,SPOG,Leverage Shares 2X Long SPOT Daily ETF,,18.14,70.57,1280161,7.83,30.18%
13,DOGD,Tradr 2X Long DDOG Daily ETF,,20.71,24.08,498633,20.68,27.65%
14,NMRA,Neumora Therapeutics Inc,499.59,1438.88,5.52,7938579,2.99,25.10%
15,PHIO,Phio Pharmaceuticals Corp,12.06,380.72,426.24,162276063,1.12,24.44%
16,BGM,BGM Group Ltd,244.67,33.06,20.2,667698,1.33,23.15%
17,FIGG,Leverage Shares 2x Long FIG Daily ETF,,469.43,6.22,2921939,1.74,17.62%
18,LXEH,Lixiang Education Holding Co Ltd ADR,5.21,900.42,17.41,15676139,0.28,16.19%
19,SHPU,Direxion Daily SHOP Bull 2X ETF,,40.09,8.32,333336,17.16,15.31%
20,RELL,"Richardson Electronics, Ltd",195.97,87.43,5.91,516689,13.69,15.24%
21,YEXT,Yext Inc,687.94,1097.59,7.02,7708517,5.61,14.26%
22,HBIO,Harvard Bioscience Inc,26.88,671.43,8.16,5476637,0.6,13.37%
23,STRO,Sutro Biopharma Inc,133.24,111.62,5.01,559303,15.64,11.87%
24,MBOT,Microbot Medical Inc,137.67,1872.77,11.41,21369181,2.05,11.41%
25,PHG,Koninklijke Philips N.V. ADR,31283.26,706.68,7.64,5400871,32.91,11.11%
26,HOTH,Hoth Therapeutics Inc,14.74,353.69,11.25,3980055,0.95,10.68%
27,ABP,Abpro Holdings Inc,4.54,255.64,291.11,74419467,1.67,9.87%
28,CLGN,CollPlant Biotechnologies Ltd,8.94,55.57,7.85,436013,0.7,9.13%
29,NISN,NiSun International Enterprise Development Group Co Ltd,5.97,55.48,6.33,351366,1.29,7.92%
30,NETG,Leverage Shares 2X Long NET Daily ETF,,19.97,24.47,488755,9.97,7.77%
31,CCO,Clear Channel Outdoor Holdings Inc,1173.64,2352.61,27.36,64356217,2.36,7.76%
32,DDL,Dingdong (Cayman) Ltd ADR,527.41,2157.07,6.3,13593396,2.92,7.75%
33,NETX,Tradr 2X Long NET Daily ETF,,12.16,6.44,78289,14.88,6.76%
34,NOWL,GraniteShares 2x Long NOW Daily ETF,,267.03,6.02,1607137,6.55,5.65%
35,KD,Kyndryl Holdings Inc,2541.64,3186.71,10.44,33266731,11.12,5.00%
36,PODC,PodcastOne Inc,84.5,92.68,5.08,470916,3.14,4.67%
37,AFRU,T-REX 2X Long AFRM Daily Target ETF,,43.15,5.41,233331,8.89,4.22%
38,LYFX,Tradr 2X Long LYFT Daily ETF,,10.79,5.29,57089,14.08,3.99%
39,EZJ,ProShares Ultra MSCI Japan 2x Shares,,4.34,16.51,71659,68.04,3.63%
40,BKNU,T-REX 2X Long BKNG Daily Target ETF,,3.34,7.53,25146,13.77,3.61%
