No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,CHOW,ChowChow Cloud International Holdings Ltd,33.81,2672.3,203.13,288949322,0.96,104.94%
2,FSLY,Fastly Inc,2448.61,4232.9,28.82,64937542,16.39,76.04%
3,JDZG,Jiade Ltd,49.5,180.93,556.4,53587289,2.12,60.46%
4,WORX,SCWorx Corp,4.53,4713.93,113.14,283890520,0.29,54.23%
5,SGN,Signing Day Sports Inc,4.09,20051.32,33.33,355732317,0.3,40.49%
6,JZXN,Jiuzi Holdings Inc,3.23,2079.27,12.18,13481511,2.32,39.76%
7,CGNX,Cognex Corp,9966.72,1766.58,8.87,8344410,59.47,38.20%
8,RIME,Algorhythm Holdings Inc,3.08,897.16,46.55,22233028,1.13,36.48%
9,IPGP,IPG Photonics Corp,6252.96,359.73,5.95,1138446,148.44,33.85%
10,ASTN,Defiance Daily Target 2X Short ASTS ETF,,42.22,7.41,166440,23.03,29.38%
11,NVCR,NovoCure Ltd,1484.88,1542.64,15.43,12668743,13.26,26.29%
12,SSII,SS Innovations International Inc,793.84,92.74,6.66,328830,4.1,23.49%
13,KPTI,Karyopharm Therapeutics Inc,165.31,307.02,8.34,1363509,9.03,22.50%
14,MH,McGraw Hill Inc,2866.04,681.15,6.6,2391252,15.01,21.60%
15,RWT,Redwood Trust Inc,850.82,1393.66,5.85,4337928,6.72,21.23%
16,BEZ,Tradr 2X Short BE Daily ETF,,4.04,8.56,18407,27.58,21.14%
17,HXHX,Haoxin Holdings Ltd,6.47,5765.77,12.76,39176953,0.47,18.68%
18,LHSW,Lianhe Sowell International Group Ltd,11.83,1114.56,154.95,91928993,0.23,18.30%
19,CSCS,Direxion Daily CSCO Bear 1X ETF,,2.48,20.95,27614,21.7,11.40%
20,VVPR,VivoPower International PLC,24.26,502.65,6.68,1788539,1.44,9.45%
21,GLE,Global Engine Group Holding Ltd,6.78,188.76,6.88,691702,0.37,9.06%
22,UK,Ucommune International Ltd,1.12,53.24,10.47,296672,0.53,6.06%
23,SMZ,Tradr 2X Short SMR Daily ETF,,5.44,8.28,23985,30.08,5.65%
24,GLL,ProShares UltraShort Gold -2x Shares,,6105.55,8.39,27277174,18.67,5.30%
25,HUBS,HubSpot Inc,11492.35,1137.9,6.29,3811050,219.38,4.80%
26,IPOS,Renaissance International IPO ETF,,1.89,12.39,12492,20.24,4.73%
27,DSY,Big Tree Cloud Holdings Ltd,375.59,187.82,5.65,564556,0.2,4.00%
28,ELPW,Elong Power Holding Ltd,7.96,3366.01,5.45,9764867,0.66,3.73%
