No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,KORE,Kore Group Holdings Inc,156.99,41.5,72.24,2998382,8.95,78.64%
2,ENSC,Ensysce Biosciences Inc,2.26,1067.59,263.6,281421766,0.62,57.77%
3,ONMD,OneMedNet Corp,52.03,965.35,225.24,217434222,1.02,44.60%
4,INEO,INNEOVA Holdings Ltd,12.74,51.52,94.67,4878086,0.77,43.90%
5,DLLL,GraniteShares 2x Long DELL Daily ETF,,72.44,7.76,562028,29.41,43.61%
6,EDSA,Edesa Biotech Inc,18.37,1974.45,21.85,43134434,2.2,41.94%
7,ALBT,Avalon GloboCare Corp,6.79,5685.04,7.2,40935502,1.49,36.70%
8,XYZG,Leverage Shares 2X Long XYZ Daily ETF,,15.39,15.51,238795,12.91,34.00%
9,BATL,Battalion Oil Corp,90.83,6487.18,8.61,55876371,5.52,33.01%
10,ALOY,REalloys Inc,82.71,153.51,7.07,1085575,18.46,32.14%
11,HUBC,Hub Cyber Security Ltd,3.23,230.42,8.31,1914642,1.48,29.26%
12,NFXL,Direxion Daily NFLX Bull 2X Shares,,1068.75,5.24,5598356,30.8,27.69%
13,NFLU,T-Rex 2X Long NFLX Daily Target ETF,,347.3,6.44,2235742,32.59,27.45%
14,ARLO,Arlo Technologies Inc,1663.01,1228.34,5.07,6228958,15.69,27.15%
15,CDIO,Cardio Diagnostics Holdings Inc,11.96,3567.75,5.3,18925218,6.55,25.48%
16,PRAA,PRA Group Inc,614.5,437.27,6.01,2626837,15.75,24.31%
17,PMVP,PMV Pharmaceuticals Inc,90.46,305.62,12.43,3797592,1.7,24.09%
18,FIGS,Figs Inc,2541.51,2713.66,9.61,26065500,15.45,23.90%
19,PSKY,Paramount Skydance Corp,14910.54,9103.03,10.03,91345446,13.51,20.84%
20,NGNE,Neurogene Inc,363.86,156.54,8.03,1257016,23.49,19.36%
21,BANL,CBL International Ltd,12.42,152.15,5.22,794126,0.45,18.85%
22,VEEA,Veea Inc,25.57,261.77,275.33,72072460,0.51,17.33%
23,XYZ,Block Inc,38708.45,7441.04,5.46,40645226,63.7,16.82%
24,BMM,Blue Moon Metals Inc,326.38,53.19,5.11,271667,5.11,16.67%
25,INTT,Intest Corp,145.43,46.03,6.1,280693,11.65,16.62%
