No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,PBM,Psyence Biomedical Ltd,2.21,205.44,207.37,27866674,7.36,155.38%
2,MYSE,Myseum.AI Inc,15.37,680.43,412.98,183806476,3.61,150.69%
3,ONFO,Onfolio Holdings Inc,8.97,194.83,1890.61,240938477,1.53,129.37%
4,WSHP,WeShop Holdings Ltd,382.27,141.96,334.52,30945681,16.31,98.37%
5,XNDU,Xanadu Quantum Technologies Ltd,1701.08,704.28,29.71,13633506,39.3,56.08%
6,WNW,Meiwu Technology Company Ltd,6.18,263.33,70.2,12047313,4.65,47.03%
7,MAMO,Massimo Group,56.01,1101.59,52.23,37493268,1.35,36.33%
8,ACHV,Achieve Life Sciences Inc,251.97,682.82,27.01,12017160,4.73,33.32%
9,SURG,Surgepays Inc,16.5,289.4,8.47,1598075,0.7,27.98%
10,EVTL,Vertical Aerospace Ltd,346.38,1932.62,9.74,12263855,3.38,27.26%
11,ZSPC,Zspace Inc,3.43,10260.04,105.04,702322745,0.09,23.99%
12,CPOP,Pop Culture Group Co Ltd,29.91,75.14,50.64,2479583,0.37,22.90%
13,DARE,Dare Bioscience Inc,31.74,84.71,7.99,441236,2.18,21.79%
14,AMS,American Shared Hospital Services,10.36,21.87,42.08,599737,1.57,21.64%
15,NN,NextNav Inc,2760.47,1414.9,5.24,4833385,20.36,19.97%
16,RPGL,Republic Power Group Ltd,19.29,1661.33,10.8,11690375,0.45,18.61%
17,ARTV,Artiva Biotherapeutics Inc,260.14,187.24,5.36,653523,10.52,15.66%
18,RDWU,T-REX 2X Long RDW Daily Target ETF,,242.49,5.37,848387,12.79,15.02%
19,RUM,Rumble Inc,2730.38,1935.26,7.18,9091759,6.27,12.43%
20,BZUN,Baozun Inc ADR,160.74,310.07,6.13,1239116,2.99,11.75%
21,QBTX,Tradr 2X Long QBTS Daily ETF,,1719.88,5.35,5993450,16.95,11.22%
22,ATXG,Addentax Group Corp,4.66,120.35,14.94,1171984,5.97,10.97%
23,ENVB,Enveric Biosciences Inc,4.25,358.62,41.57,9714245,2.25,10.84%
24,SGLY,Singularity Future Technology Ltd,3.41,269.53,42.4,7448082,0.47,10.64%
25,ORCU,Direxion Daily ORCL Bull 2X ETF,,869.32,5.62,3181663,13.72,9.85%
26,ALGS,Aligos Therapeutics Inc,49.75,52.94,160.39,5532692,8.04,8.37%
27,IMMP,Immutep Limited ADR,86.76,14012.09,5.38,49322520,0.59,8.22%
28,SPPL,Simpple Ltd,12.3,13.27,13.06,112970,2.12,7.61%
29,AGAE,Allied Gaming & Entertainment Inc,19.08,13713.61,8.93,79835407,0.51,7.18%
30,TXNU,Direxion Daily TXN Bull 2X ETF,,0.4,7.87,2058,32.45,6.44%
31,DOO,BRP Inc,3943.55,314.36,9.76,2000130,53.93,5.90%
32,NBIZ,Tradr 2X Short NBIS Daily ETF,,1276.76,7.34,6103175,3.9,4.97%
33,CAPS,Capstone Holding Corp,5.6,225.16,660.53,96917468,0.62,4.75%
34,WETH,Wetouch Technology Inc,19.1,44.09,5.19,149022,1.6,4.58%
35,IONL,GraniteShares 2x Long IONQ Daily ETF,,587.05,13.5,5164717,23.6,4.33%
36,IONX,Defiance Daily Target 2X Long IONQ ETF,,1732.13,8.08,9120216,45.18,4.27%
37,BMRA,Biomerica Inc,6.8,20.87,5.19,70610,2.2,4.27%
38,PLBL,Polibeli Group Ltd,2652.64,8.3,5.84,31671,7.24,4.17%
39,LNOK,Defiance Daily Target 2X Long NOK ETF,,16.8,10.18,111432,46.17,4.08%
40,PLUR,Pluri Inc,36.19,8.37,6.49,35429,3.6,4.05%
41,BEZ,Tradr 2X Short BE Daily ETF,,378.8,7.12,1758309,5.62,3.88%
42,QPUX,Defiance 2X Daily Long Pure Quantum ETF,,117.7,5.56,426250,30.02,3.88%
43,LGCB,Linkage Global Inc,15.06,73.95,8.13,391955,1.35,3.81%
44,HQ,Horizon Quantum Holdings Ltd,654.01,52.33,18.71,637955,12.68,3.68%
45,CTNT,Cheetah Net Supply Chain Service Inc,6.52,2370.23,578.93,894215326,0.18,3.63%
46,STLR,Stellar ETF,,0.56,9.62,3501,19.71,3.51%
47,SMZ,Tradr 2X Short SMR Daily ETF,,29.69,9.65,186749,36.73,3.48%
48,SOFA,Direxion Daily SOFI Bull 2X ETF,,20.7,7.22,97352,19.03,3.39%
