No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,SNAL,Snail Inc,43.44,119.96,24024.4,312576554,1.15,205.04%
2,PMNT,Perfect Moment Ltd,25.54,2344.43,1180.41,300155256,0.54,124.24%
3,ROLR,High Roller Technologies Inc,98.34,2449.4,197.26,52405305,9.03,77.41%
4,AVNS,Avanos Medical Inc,1141.3,578.04,219.95,13789767,24.54,68.89%
5,HOTH,Hoth Therapeutics Inc,14.66,1024,567.93,63076390,0.77,49.70%
6,BEX,Tradr 2X Long BE Daily ETF,,874.64,7.22,685195,37.57,35.34%
7,BEG,Leverage Shares 2x Long BE Daily ETF,,50.26,5.36,29203,53.15,33.81%
8,TVTX,Travere Therapeutics Inc,3774.53,1566.51,34.51,5863505,40.92,33.29%
9,HUBC,Hub Cyber Security Ltd,0.26,14278.29,118.54,183576726,0.12,29.44%
10,ZTG,Zenta Group Co. Ltd,,10.31,2431.2,2717343,2.13,29.09%
11,CRDU,Tradr 2X Long CRDO Daily ETF,,459.25,13.79,686716,38.19,27.38%
12,XNDU,Xanadu Quantum Technologies Ltd,627.19,505.71,13.06,716115,14.49,26.11%
13,BOLD,Boundless Bio Inc,33.72,114.77,128.18,1595579,1.5,25.42%
14,SMUP,T-REX 2X Long SMR Daily Target ETF,,122.83,6.07,80805,9.84,24.73%
15,SMU,Tradr 2X Long SMR Daily ETF,,734.09,13.01,1036057,12.94,23.31%
16,IONX,Defiance Daily Target 2X Long IONQ ETF,,1538.62,7.89,1315954,26.68,22.44%
17,IONL,GraniteShares 2x Long IONQ Daily ETF,,494.88,11.13,597267,13.91,22.34%
18,MITQ,Moving iMage Technologies Inc,6.82,31.76,201.06,692524,0.69,20.35%
19,SLNH,Soluna Holdings Inc,123.3,4004.49,18.04,7836150,1.11,19.56%
20,SBTU,T-REX 2X Long SBET Daily Target ETF,,55.86,8.3,50310,4.01,19.35%
21,OKLL,Defiance Daily Target 2x Long OKLO ETF,,4814.98,12.16,6352530,8.23,18.59%
22,SNYR,Synergy CHC Corp,7.69,353.96,948.33,36407454,0.68,18.27%
23,INDP,Indaptus Therapeutics Inc,5.43,51.6,17.4,97406,2.42,17.48%
24,RENT,Rent the Runway Inc,226.89,73.2,30.55,242503,6.8,17.36%
25,ADGM,Adagio Medical Holdings Inc,34.29,95.18,5.11,52793,1.54,16.07%
26,HODU,Direxion Daily HOOD Bull 2X ETF,,82.07,12.87,114577,8.65,16.06%
27,ROBN,T-Rex 2X Long HOOD Daily Target ETF,,1262.56,5.42,742395,21.08,15.82%
28,HOOG,Leverage Shares 2X Long HOOD Daily ETF,,467.09,6.95,352079,21.06,15.78%
29,CHPT,ChargePoint Holdings Inc,153.33,486.99,7.78,410685,6.28,15.65%
30,WETH,Wetouch Technology Inc,18.83,41.17,7.02,31347,1.58,15.17%
31,WGRX,Wellgistics Health Inc,16.62,8378.34,164.3,149303202,0.14,15.00%
32,IREG,Leverage Shares 2X Long IREN Daily ETF,,108.96,7.18,84816,17.03,14.52%
33,CWVX,Tradr 2X Long CRWV Daily ETF,,1791.22,5.28,1026690,43.38,14.25%
34,CRWU,T-REX 2X Long CRWV Daily Target ETF,,1629.72,6.49,1147346,9.99,14.23%
