No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,HCAI,Huachen AI Parking Management Technology Holding Co. Ltd,13.82,996.52,1203.54,387177990,0.4,169.94%
2,RDGT,Ridgetech Inc,0.67,22211.06,194.72,1396188229,0.04,103.28%
3,AIXI,Xiao-I Corp ADR,21.25,31622.99,31.55,322050213,1.58,96.57%
4,CETX,Cemtrex Inc,13.71,2131.59,178.75,122999431,1.36,70.92%
5,LNAI,Lunai Bioworks Inc,10.75,16209.54,20.28,106145953,0.44,57.62%
6,TDIC,Dreamland Ltd,6.73,1407.06,316,143534102,0.18,50.83%
7,SKYQ,Sky Quarry Inc,27.81,4108.6,41.61,55185644,7.4,48.00%
8,SILO,SILO Pharma Inc,7.2,1244.12,356.59,143215452,0.51,42.86%
9,ADVB,Advanced Biomed Inc,8.58,231.49,176.17,13164940,6.29,42.29%
10,MGN,Megan Holdings Ltd,3.85,4453.13,67.42,96921845,0.24,39.13%
11,HUBC,Hub Cyber Security Ltd,0.22,6499.44,66.96,140502306,0.1,38.38%
12,IPST,IP Strategy Holdings Inc,3.17,391.59,1036.89,131076125,0.33,37.09%
13,ESLA,Estrella Immunopharma Inc,73.38,182.82,7.15,421833,1.72,26.47%
14,RYDE,Ryde Group Ltd,114.23,2205.52,9.99,7113223,0.94,24.06%
15,MIGI,Mawson Infrastructure Group Inc,17.12,226.65,76.74,5614620,3.12,20.46%
16,CYCU,Cycurion Inc,5.33,409.76,5.94,786190,1.27,20.11%
17,ALHC,Alignment Healthcare Inc,4514.51,2949.98,5.44,5176060,22.1,18.36%
18,AGPU,Axe Compute Inc,27.8,1821.49,6.39,3758729,5.02,18.12%
19,KPRX,Kiora Pharmaceuticals Inc,9.4,47.31,1464.69,22370063,2.38,17.85%
20,ICCM,Icecure Medical Ltd,24.3,428.24,6.5,898288,0.35,17.27%
21,UNHG,Leverage Shares 2X Long UNH Daily ETF,,2473,6.57,5244547,12.85,16.82%
22,UNHU,Direxion Daily UNH Bull 2X ETF,,3.55,11.54,13236,31.01,16.75%
23,ITP,IT Tech Packaging Inc,3.54,183.59,38.12,2259064,0.21,15.41%
24,ABVC,ABVC BioPharma Inc,39.68,65.73,24.05,510263,1.56,12.23%
25,CAR,Avis Budget Group Inc,8341.14,883.03,8.61,2454469,236.57,11.27%
26,ALOT,AstroNova Inc,79.06,18.47,12.38,73795,10.35,10.11%
27,HTZ,Hertz Global Holdings Inc,1816.38,6135.87,5.26,10424715,5.82,9.51%
28,TBH,Brag House Holdings Inc,10.68,417.55,11.68,1574779,0.45,8.00%
29,RCMT,"RCM Technologies, Inc",192.68,49.58,5.09,81422,27.43,7.70%
30,MWG,Multi Ways Holdings Ltd,7.97,25.14,5.02,40723,1.92,6.89%
31,FUBO,fuboTV Inc,1393.83,1617.19,5.66,2955376,12.86,6.55%
32,TISI,"Team, Inc",78.35,6.25,10.05,20291,17.14,5.93%
33,PCYO,Pure Cycle Corp,263.07,55.23,9.98,177936,10.92,5.51%
34,ASTN,Defiance Daily Target 2X Short ASTS ETF,,556.31,6.2,1113329,11.75,5.39%
35,MAXN,Maxeon Solar Technologies Ltd,18.75,1582.91,5,2557045,1.11,4.72%
36,ORGO,Organogenesis Holdings Inc,301.67,695.83,63.06,14165907,2.35,4.69%
37,MEHA,Functional Brands Inc,3.6,4142.68,11.54,15434815,0.17,4.46%
38,AURE,Aurelion Inc,89.96,101.58,7.64,250506,2.6,4.42%
39,VMET,Versamet Royalties Corp,537.22,96.61,6.61,206262,11.07,4.24%
40,CUE,Cue Biopharma Inc,18.01,1479.91,141.24,67476406,0.18,4.18%
41,NCTY,The9 Limited ADR,82.53,31.15,7.74,77797,5.53,3.85%
42,PNRG,PrimeEnergy Resources Corp,404.33,53.81,6.35,110287,247.3,3.65%
43,IHF,iShares U.S. Healthcare Providers ETF,,306.95,6.6,654238,44.38,3.16%
44,HUHU,HUHUTECH International Group Inc,241.04,16.48,8.32,44272,10,3.09%
