No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,RMSG,Real Messenger Corp,10.19,4855.08,93.52,335701388,2.01,328.14%
2,CMCT,Creative Media & Community Trust,25.1,697.13,281.14,144908149,0.95,91.62%
3,RECT,Rectitude Holdings Ltd,30.59,4.62,34149.46,116550071,2.11,75.83%
4,RCT,RedCloud Holdings PLC,43.48,176.18,1139.72,148459934,0.98,72.47%
5,BTM,Bitcoin Depot Inc,46.98,176.72,28.91,3777709,4.22,60.52%
6,VRAX,Virax Biolabs Group Ltd,1.18,7582.76,45,252300730,0.16,53.31%
7,DEVS,DevvStream Corp,4.92,992.04,12.37,9071435,0.92,45.08%
8,MNTS,Momentus Inc,28.59,1231.51,8.54,7776285,4.99,43.39%
9,ALMU,Aeluma Inc,275.8,549.47,28.64,11634341,15.32,42.38%
10,RVMD,Revolution Medicines Inc,26701.49,2523.73,5.84,10893657,134.74,39.73%
11,LICN,Lichen International Ltd,71.34,26.37,6.62,129139,4.37,36.99%
12,DLXY,Delixy Holdings Ltd,11.01,1955.3,45.9,66356300,0.67,35.31%
13,SYRE,Spyre Therapeutics Inc,5088.61,743.04,7.65,4201262,64.79,26.32%
14,IMA,ImageneBio Inc,67.11,36.56,653.59,17666813,6,22.40%
15,JDZG,Jiade Ltd,2.63,429.72,70.95,22541205,1.86,22.37%
16,OPTX,Syntec Optics Holdings Inc,423.21,1155.63,5.67,4848563,11.44,22.35%
17,GCTK,GlucoTrack Inc,1.56,934.82,15.99,11054422,0.8,20.63%
18,TBRG,TruBridge Inc,323.03,129.96,10.8,1038135,21.67,20.52%
19,HHS,"Harte-Hanks, Inc",21.06,4.6,15.38,52307,2.84,20.12%
20,NETG,Leverage Shares 2X Long NET Daily ETF,,91.04,5.82,390296,9.09,18.82%
21,CLLS,Cellectis ADR,308.13,41.66,9.27,285662,4.26,18.66%
22,LNOK,Defiance Daily Target 2X Long NOK ETF,,9.49,53.09,372361,47.5,17.97%
23,SNOU,T-REX 2X Long SNOW Daily Target ETF,,77.09,8.29,472234,13.05,16.48%
24,ALLO,Allogene Therapeutics Inc,766.69,5868.58,17.8,77240444,3.14,15.62%
25,LEG,"Leggett & Platt, Inc",1546.97,1513.24,12.25,13709239,11.39,13.96%
26,HXHX,Haoxin Holdings Ltd,8.12,1727.07,5.91,7518303,0.59,13.72%
27,SEER,Seer Inc,108.04,260.85,13.69,2639632,1.91,13.31%
28,NOWL,GraniteShares 2x Long NOW Daily ETF,,1163.25,7.48,6431581,4.16,12.79%
29,CLDI,Calidi Biotherapeutics Inc,3.07,283.15,12.23,2552377,0.28,9.86%
30,ZBAO,Zhibao Technology Inc,27.66,173.44,5.21,666106,0.83,9.43%
31,LWLG,Lightwave Logic Inc,1705.62,3920.38,5.5,15934259,11.46,8.11%
32,OKTG,Leverage Shares 2X Long OKTA Daily ETF,,10.41,6.15,47142,7.69,7.90%
33,SINT,SINTX Technologies Inc,11.9,31.36,5.34,123887,2.88,7.65%
34,WLAC,Willow Lane Acquisition Corp,210.82,235.33,6.63,1154076,12.2,7.21%
35,BIDG,Leverage Shares 2X Long BIDU Daily ETF,,13.23,5.59,54493,11.9,6.68%
36,IDYA,Ideaya Biosciences Inc,2853.96,928.73,11.99,8233241,32.5,6.56%
37,RKTL,Defiance Daily Target 2X Long RKT ETF,,17.94,12.78,168994,14.36,4.98%
38,DAT,ProShares Big Data Refiners ETF,,2.31,9.47,16090,33.5,4.91%
39,PLTI,REX PLTR Growth & Income ETF,,5.33,6.32,24818,14.41,4.77%
40,PLOO,Leverage Shares 2x Capped Accelerated PLTR Monthly ETF,,0.68,15.49,7810,13.44,4.76%
41,CTNT,Cheetah Net Supply Chain Service Inc,55.86,84.18,7.43,462233,1.51,4.48%
42,SPAM,Themes Cybersecurity ETF,,1.07,5.76,4548,29.58,4.39%
