No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,GSIW,Garden Stage Ltd,354.1,3.12,714.96,2233711,33.21,248.11%
2,AZI,Autozi Internet Technology (Global) Ltd,29.57,6362.64,83.74,532781845,0.65,146.40%
3,ANTX,AN2 Therapeutics Inc,143.87,232.64,249.18,57968414,5.25,84.21%
4,HIMZ,Defiance Daily Target 2X Long HIMS ETF,,16158.73,11.05,178503716,2.03,81.25%
5,DTCK,Davis Commodities Ltd,1.46,264.87,134.91,35733258,2.49,74.13%
6,RLMD,Relmada Therapeutics Inc,525.79,688.96,62.42,43005379,7.17,61.12%
7,XENE,Xenon Pharmaceuticals Inc,5221.02,911.04,12.64,11518077,62.76,49.64%
8,CAMP,CAMP4 Therapeutics Corp,325.79,155.03,38.19,5920819,6.28,49.40%
9,SAFX,XCF Global Inc,75.25,16258,15.21,247325173,0.32,46.20%
10,ACXP,Acurx Pharmaceuticals Inc,4.98,63.37,119.18,7552552,1.96,44.81%
11,HIMS,Hims & Hers Health Inc,5051.13,23260.83,7.52,174964041,22.16,40.79%
12,XHG,XChange Tec.Inc. ADR,48.93,9.56,12.24,116972,1.05,35.46%
13,MDCX,Medicus Pharma Ltd,13.29,1077.13,116.41,125386741,0.52,34.26%
14,TURB,Turbo Energy S.A. ADR,55.65,3812.42,6.21,23662622,5.05,33.60%
15,NERV,Minerva Neurosciences Inc,346.2,90.37,6.51,588635,8,33.11%
16,OLOX,Olenox Industries Inc,15.66,1162.02,26.63,30950190,1.63,32.52%
17,RNAC,Cartesian Therapeutics Inc,234.55,163.53,17.93,2932269,9.02,31.68%
18,ATRA,Atara Biotherapeutics Inc,48.17,367.84,8.76,3222713,6.68,29.21%
19,EPSM,Epsium Enterprise Ltd,29.56,86.73,36.68,3181488,2.2,26.44%
20,AGRZ,Agroz Inc,9.97,357.64,6.6,2358715,0.46,25.89%
21,DNTH,Dianthus Therapeutics Inc,3424.57,781.72,5.9,4611152,79.23,21.52%
22,PROP,Prairie Operating Co,113.92,1571.63,7.15,11244823,1.91,19.37%
23,CIIT,Tianci International Inc,9.98,138.16,392.79,54268119,0.41,18.92%
24,EONR,EON Resources Inc,38.76,8557.91,40.97,350644966,0.78,15.73%
25,KORU,Direxion Daily South Korea Bull 3X Shares,,379.62,5.7,2164713,403.01,15.69%
26,REBN,Reborn Coffee Inc,11.65,76.85,8.84,679643,1.95,13.37%
27,WCT,Wellchange Holdings Co. Ltd,12.51,7.6,6.61,50256,4.08,13.33%
28,NCSM,NCS Multistage Holdings Inc,138.94,10.02,10.78,108080,54.58,12.89%
29,AGH,Aureus Greenway Holdings Inc,82.5,50.15,574.98,28832549,5.48,12.30%
30,OVID,Ovid Therapeutics Inc,278.59,1501.16,5.01,7516623,2.14,12.04%
31,ACRS,Aclaris Therapeutics Inc,408.82,1907.86,7.19,13708674,3.39,10.78%
32,BTBD,BT Brands Inc,10.1,47.34,34.46,1631185,1.7,10.39%
33,RKDA,Arcadia Biosciences Inc,3.74,23.03,5.42,124889,2.16,9.64%
34,SEED,Origin Agritech Ltd,13.84,32.61,47.78,1558168,1.14,9.62%
35,ARTW,Art's-way Manufacturing Co. Inc,12.58,29.74,10.3,306208,2.43,8.00%
36,TALK,Talkspace Inc,848.16,1538.45,35.47,54574619,5.12,7.56%
37,LRHC,La Rosa Holdings Corp,0.58,1806.81,34.97,63188898,1.08,6.93%
38,MRVU,Direxion Daily MRVL Bull 2X ETF,,17.22,9.45,162732,30.57,6.75%
39,ELPW,Elong Power Holding Ltd,1.71,15405.92,27.61,425421850,0.05,6.67%
40,PBRG,Leverage Shares 2X Long PBR Daily ETF,,2.67,6.53,17455,36.2,6.58%
41,NRT,North European Oil Royalty Trust,89.61,95.68,5.55,531516,9.75,5.06%
42,HCAI,Huachen AI Parking Management Technology Holding Co. Ltd,7.04,653.99,15.25,9970223,0.2,4.78%
43,AALG,Leverage Shares 2X Long AAL Daily ETF,,14.3,6.78,96895,9.23,4.12%
44,MSOO,Leverage Shares 2x Capped Accelerated MSTR Monthly ETF,,1.59,29.24,46577,6.97,3.98%
45,CANE,Teucrium Sugar Fund,,76.4,8.73,666915,9.81,3.59%
46,COZX,Tradr 2X Long CORZ Daily ETF,,38.96,5.45,212501,9.27,3.23%
47,TXBC,21Shares FTSE Crypto 10 ex-BTC Index ETF,,1.37,5.61,7702,15.17,3.10%
48,STRN,SMART Trend 25 ETF,,19.3,7.26,140180,21.51,2.89%
49,NVDO,Leverage Shares 2x Capped Accelerated NVDA Monthly ETF,,0.68,21.08,14321,19.02,2.80%
50,ACU,Acme United Corp,166.09,9.7,5.51,53488,43.63,2.66%
51,CMTV,Community Bancorp Inc Vermont,175.48,7.25,6.33,45896,31.31,2.66%
52,XRPK,T-REX 2X Long XRP Daily Target ETF,,3.76,5.14,19348,8.48,2.41%
53,NRGD,MicroSectors U.S. Big Oil -3 Inverse Leveraged ETNs,,2.19,11.86,25906,36.38,2.27%
54,WDAF,WisdomTree Asia Defense Fund,,21.26,9.13,194092,37.62,2.26%
55,LQPE,PEO AlphaQuest Thematic PE ETF,,0.11,33.16,3597,19.61,2.21%
56,ACES,ALPS Clean Energy ETF,,51.44,13.2,679059,32.58,2.20%
57,MTEN,Mingteng International Corporation Inc,2.03,352.36,11.29,3979450,1.66,1.84%
58,SUPP,TCW Transform Supply Chain ETF,,0.07,10.5,749,73.65,1.82%
59,SEEM,SEI Select Emerging Markets Equity ETF,,70.57,6.09,429699,33.51,1.70%
60,FLYU,MicroSectors Travel 3x Leveraged ETN,,1.31,16.03,21025,38.46,1.67%
61,EZJ,ProShares Ultra MSCI Japan 2x Shares,,10.6,5.86,62146,56.86,1.64%
