No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,HCWB,HCW Biologics Inc,5.38,100.01,4603.67,460425267,0.94,81.19%
2,AIRS,Airsculpt Technologies Inc,175.14,1071.78,72.13,77302286,2.81,51.62%
3,CTMX,CytomX Therapeutics Inc,1143.69,3256.56,37.18,121064452,6.75,44.23%
4,DSGR,Distribution Solutions Group Inc,1204.08,98.14,12.96,1271889,26.07,35.01%
5,ORBS,Eightco Holdings Inc,217.61,9982.43,10.34,103189742,1.1,34.13%
6,NSA,National Storage Affiliates Trust,5398.99,1538.75,12.25,18847038,40.23,30.03%
7,PRSO,Peraso Inc,17.52,7115.21,5.32,37825798,1.87,25.50%
8,LNZA,LanzaTech Global Inc,31.95,7.96,13.99,111408,13.77,25.30%
9,LSH,Lakeside Holding Ltd,34.8,33.94,5.49,186254,1,23.66%
10,CRGO,Freightos Ltd,79.49,128.43,6.55,841041,1.55,23.51%
11,CING,Cingulate Inc,82.96,320.63,6.57,2108003,10.72,23.36%
12,JZ,Jianzhi Education Technology Group Co Ltd ADR,2.82,182.85,28.62,5233893,1,21.95%
13,NBY,Novabay Pharmaceuticals Inc,37.88,509.77,10.94,5574504,1.45,19.83%
14,WNW,Meiwu Technology Company Ltd,33.64,23.89,7511.92,179425477,2.15,19.44%
15,TAOP,Taoping Inc,15.99,38.19,10.73,409750,1.73,19.32%
16,AXR,AMREP Corp,149.88,5.83,8.86,51650,28.25,15.64%
17,YXT,Yxt.Com Group Holding Ltd. ADR,111.72,18.41,79.95,1471901,0.62,15.33%
18,SOLX,T-REX 2X Long SOL Daily Target ETF,,6.62,7.68,50856,11.97,14.88%
19,ONFO,Onfolio Holdings Inc,3.62,61.82,42.26,2612465,0.62,14.15%
20,ARTL,Artelo Biosciences Inc,2.94,25.11,5.51,138342,4.15,10.37%
21,IPM,Intelligent Protection Management Corp,19.53,86.96,5.76,501287,2.15,9.97%
22,CUE,Cue Biopharma Inc,28.42,1324.72,16.99,22503462,0.31,9.80%
23,LRE,Lead Real Estate Co Ltd ADR,20.72,46.26,5.31,245438,1.52,8.51%
24,TWAV,TaoWeave Inc,4.14,117.94,125.7,14824548,1.29,8.40%
25,MGN,Megan Holdings Ltd,57.37,368.54,7.45,2746230,3.53,8.28%
26,CIIT,Tianci International Inc,8.15,1120.3,52.96,59335799,0.32,7.30%
27,VMET,Versamet Royalties Corp,548.39,43.56,13.91,605765,11.3,6.70%
28,EMEQ,Nomura Focused Emerging Markets Equity ETF,,119.8,5.02,601439,47.89,5.53%
29,MDA,MDA Space Ltd,3964.2,127.07,8.4,1067739,31.34,4.50%
30,FENG,Phoenix New Media Ltd ADR,10.15,3.7,6.79,25101,1.88,4.44%
31,JETU,MAX Airlines 3X Leveraged ETNs,,2.28,5.64,12862,25.66,4.21%
32,LNSR,LENSAR Inc,122.55,42.81,5.16,220702,10.26,4.16%
33,AALG,Leverage Shares 2X Long AAL Daily ETF,,21.75,7.55,164236,7.71,3.96%
34,MVST,Microvast Holdings Inc,758.1,3405.02,5.83,19864408,2.31,3.59%
35,SNDA,Sonida Senior Living Inc,1715.49,122.47,12.54,1535621,36.17,3.14%
36,KCOP,Kurv Copper & Mining Enhanced Income ETF,,34.91,6.44,224626,23.17,3.07%
37,CLIK,Click Holdings Ltd,10.48,46.5,87.52,4069616,3.21,3.00%
