No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,RXT,Rackspace Technology Inc,333.74,1604.51,325.05,521547807,1.37,226.97%
2,SNSE,Sensei Biotherapeutics Inc,33.12,86.46,143.21,12382943,26.25,187.51%
3,CDIO,Cardio Diagnostics Holdings Inc,3.88,425.01,119.54,50806880,2.13,78.99%
4,MLEC,Moolec Science SA,10.43,1168.37,6.13,7156978,14.36,49.90%
5,RENX,RenX Enterprises Corp,1.77,23583.03,11.4,268820592,0.2,44.88%
6,AUUD,Auddia Inc,3.54,399.97,259.74,103886447,1.14,36.56%
7,SABR,Sabre Corp,462.02,6579.7,5.1,33571087,1.17,24.68%
8,VGAS,Verde Clean Fuels Inc,59.25,15.22,37.7,573884,1.33,24.30%
9,JFB,JFB Construction Holdings,127.81,82.63,11.78,973586,20.9,22.94%
10,TCMD,Tactile Systems Technology Inc,738.19,345.89,5.27,1824153,33.05,17.83%
11,GLBE,Global E Online Ltd,5898.04,1518.27,5.54,8417845,34.81,17.21%
12,LBTYA,Liberty Global Ltd,4402.51,2293.09,5.04,11548722,13.03,16.76%
13,MSGS,Madison Square Garden Sports Corp,8233.56,193.49,5.39,1042827,342.07,16.44%
14,MCW,Mister Car Wash Inc,2286.43,1156.51,35.16,40660156,6.98,16.14%
15,VVPR,VivoPower International PLC,47.52,694.56,5.61,3894125,2.83,15.98%
16,EDRY,EuroDry Ltd,46.36,3.6,6.09,21913,16.4,15.60%
17,LBTYK,Liberty Global Ltd,4323.49,871.75,5.5,4790726,12.67,14.66%
18,DASX,Tradr 2X Long DASH Daily ETF,,10.25,5.05,51814,10.35,14.44%
19,GDC,GD Culture Group Limited,203.48,47.73,7.33,349905,3.55,13.42%
20,CNVS,Cineverse Corp,58.12,206,9.02,1858749,2.97,9.59%
21,BENF,Beneficient,58.66,236.34,78.67,18592255,4.15,8.64%
22,WBUY,Webuy Global Ltd,2.99,1075.28,6.81,7325398,1.23,6.96%
23,ZNB,Zeta Network Group,33.41,1547.04,15.64,24191838,0.23,6.33%
24,BKNU,T-REX 2X Long BKNG Daily Target ETF,,3.8,12.46,47326,13.41,5.92%
