No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,RIME,Algorhythm Holdings Inc,9.47,1766.89,94.75,167408697,3.48,222.22%
2,JDZG,Jiade Ltd,12.84,1254.72,43.06,54029256,3.81,125.44%
3,MLEC,Moolec Science SA,6.3,319.11,158.55,50594663,8.63,69.22%
4,ATOM,Atomera Inc,124.19,508.68,55.56,28260518,3.92,64.02%
5,FGL,Founder Group Ltd,3.06,51.69,28.67,1481829,18,49.13%
6,VVPR,VivoPower International PLC,35.43,527.47,13.67,7209433,2.11,48.59%
7,CRSR,Corsair Gaming Inc,723.68,1189.13,39.39,46841748,6.79,48.25%
8,SAGT,Sagtec Global Ltd,22.34,47.14,7.13,336226,1.78,45.90%
9,MIMI,Mint Inc Ltd,9.68,5604.35,15.35,86032447,0.39,38.18%
10,PHIO,Phio Pharmaceuticals Corp,17.75,3282.4,7.37,24202997,1.65,35.25%
11,COIA,ProShares Ultra COIN,,38.95,7.77,302691,5.37,33.25%
12,CONL,GraniteShares 2x Long COIN Daily ETF,,7388.54,5.32,39290769,6.83,32.62%
13,CPS,Cooper-Standard Holdings Inc,797.33,165.22,6.95,1147641,45.2,32.36%
14,CONX,Direxion Daily COIN Bull 2X ETF,,13.81,13.58,187515,8.29,31.97%
15,GP,GreenPower Motor Company Inc,3.91,1425.27,6.46,9201415,1.27,31.61%
16,TPH,Tri Pointe Homes Inc,3985.5,862.3,25.9,22331782,46.37,26.80%
17,QVCGA,QVC Group Inc,33.17,108.68,6.44,699818,4.11,25.69%
18,AMWL,American Well Corporation,88.4,115.61,6.21,717820,5.4,24.71%
19,RAIN,Rain Enhancement Technologies Holdco Inc,22.77,28.71,13.23,379781,2.78,24.11%
20,OLB,OLB Group Inc,5.57,137.43,36.1,4960749,0.42,22.05%
21,SIF,SIFCO Industries Inc,68.42,28.51,11.05,315014,11,20.22%
22,CNVS,Cineverse Corp,47.88,139.76,22.69,3171491,2.5,20.19%
23,MGA,Magna International Inc,19368.8,1548.38,5.57,8624888,68.73,18.87%
24,MSTP,GraniteShares 2x Long MSTR Daily ETF,,484.89,5.45,2643777,1.79,17.38%
25,IVDA,Iveda Solutions Inc,1.98,3548.67,57.02,202347125,0.34,16.21%
26,ICLR,Icon Plc,7101.48,1382.36,10.26,14188052,93,16.13%
27,BRTX,BioRestorative Therapies Inc,2.53,339.52,137.11,46551538,0.28,16.09%
28,FSLY,Fastly Inc,2728.04,6018.58,9.2,55396474,18.26,13.84%
29,APPX,Tradr 2X Long APP Daily ETF,,1467.48,5.41,7940387,9.58,13.11%
30,XXII,22nd Century Group Inc,3.28,18.01,7.56,136090,6.43,13.01%
31,VTAK,Catheter Precision Inc,2.39,62.68,18.38,1152342,1.43,12.60%
32,NETG,Leverage Shares 2X Long NET Daily ETF,,40.07,5.16,206723,11.67,11.13%
33,FMFC,Kandal M Venture Ltd,6.61,1529,14.11,21577964,0.36,11.04%
34,AVX,AVAX One Technology Ltd,63.54,594.88,8.53,5075380,0.69,10.45%
35,BLIV,BeLive Holdings,35.73,5.68,11.17,63465,3.29,9.67%
36,NCI,Neo Concept International Group Holdings Ltd,9.7,2223.19,11.44,25436754,2.39,9.63%
37,ABNG,Leverage Shares 2x Long ABNB Daily ETF,,1.75,8.8,15417,14.12,9.28%
38,RETO,ReTo Eco-Solutions Inc,1.84,207.2,24.7,5118703,0.99,8.92%
39,EDOG,ALPS Emerging Sector Dividend Dogs ETF,,4.1,7.43,30465,26.4,5.76%
40,ETCO,Grayscale Ethereum Covered Call ETF,,12,5.26,63164,11.88,5.41%
41,CCFE,Concourse Capital Focused Equity ETF,,2.58,6.11,15782,31.66,5.38%
42,SKYU,ProShares Ultra Nasdaq Cloud Computing ETF 2x Shares,,1.07,8.46,9037,27.84,5.05%
43,IMUX,Immunic Inc,109.76,1634.19,39.42,64413471,0.91,4.87%
44,BROS,Dutch Bros Inc,6758,3976.34,5.1,20280142,53.2,4.68%
45,UECG,Leverage Shares 2x Long UEC Daily ETF,,3.84,8.34,32018,12.25,3.39%
