No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ANNA,AleAnna Inc,471.25,239.11,481.88,115221293,7.07,86.54%
2,SMCZ,Defiance Daily Target 2X Short SMCI ETF,,156.19,13.18,2058231,60.76,65.05%
3,AZTR,Azitra Inc,4.58,3482.91,147.55,513901333,0.28,60.59%
4,PLU,Defiance Daily Target 2x Long PL ETF,,103.14,7.33,756385,38.1,50.12%
5,RDGT,Ridgetech Inc,55.41,10.07,104.04,1047679,3.03,38.36%
6,RPGL,Republic Power Group Ltd,2.15,968.75,29.26,28349156,0.69,30.95%
7,CURV,Torrid Holdings Inc,158.72,445.77,53.27,23747204,1.6,28.00%
8,CMBM,Cambium Networks Corp,51.12,270.8,7.56,2046339,1.81,26.57%
9,BMGL,Basel Medical Group Ltd,13.95,41.06,9.57,393098,0.74,25.90%
10,MNDR,Mobile health Network Solutions,3.6,715.08,36.56,26142209,1.22,25.74%
11,PL,Planet Labs PBC,11460.04,11795.03,5.4,63635463,33.83,25.48%
12,WNW,Meiwu Technology Company Ltd,2.33,10692.54,30.89,330281931,0.15,23.86%
13,JDZG,Jiade Ltd,3.28,6416.92,23.45,150495189,0.09,23.24%
14,LNAI,Lunai Bioworks Inc,11.33,10420.01,7.74,80690502,0.47,21.69%
15,AIRG,Airgain Inc,58.31,54.02,8.41,454291,4.77,21.07%
16,DRMA,Dermata Therapeutics Inc,4.14,2191.75,18.04,39542462,1.46,20.66%
17,SKK,SKK Holdings Ltd,5.53,102.71,33.3,3419984,0.29,19.19%
18,YHC,LQR House Inc,23.08,200.88,7.08,1421967,1.08,18.92%
19,NKLR,Terra Innovatum Global N.V,564.66,611.62,8.48,5186637,5.11,18.56%
20,SLNG,Stabilis Solutions Inc,82.57,24.79,18.32,453982,4.44,17.77%
21,DYAI,"Dyadic International Inc., DE",34.02,60.05,5.94,356475,0.94,17.75%
22,NNBR,NN Inc,85.82,338.92,13.18,4465394,1.71,15.54%
23,IDN,Intellicheck Inc,111.93,139.04,15.93,2214502,5.54,15.42%
24,SST,System1 Inc,17.12,14.38,7.34,105515,1.73,14.57%
25,TCBS,Texas Community Bancshares Inc,53.89,2,9.86,19730,18.49,13.71%
26,HKIT,Hitek Global Inc,34.86,74.89,16.69,1249791,1.19,13.33%
27,CABR,Caring Brands Inc,,130.92,6.18,808691,1.05,13.17%
28,KLTR,Kaltura Inc,182.94,570.19,5.04,2871768,1.23,12.84%
29,LSH,Lakeside Holding Ltd,33.74,40.76,13.53,551490,0.98,12.51%
30,MNOV,Medicinova Inc,76.79,76.54,5.23,400468,1.56,12.23%
31,ARTL,Artelo Biosciences Inc,5.64,1027.56,11.69,12012676,7.97,11.31%
32,CV,CapsoVision Inc,321.81,330.51,10.11,3341215,6.87,11.17%
33,WFCF,Where Food Comes From Inc,65.73,2.21,5.24,11582,13.02,10.74%
34,DWTX,Dogwood Therapeutics Inc,100.21,55.78,6.04,336680,3,10.50%
35,URG,Ur-Energy Inc,576.12,8858.81,5.1,45138986,1.45,9.85%
36,ILAG,Intelligent Living Application Group Inc,4.87,38.66,7.03,271842,2.35,8.90%
37,SCHL,Scholastic Corp,947.7,417.69,5.63,2353127,37.25,8.79%
38,GROV,Grove Collaborative Holdings Inc,58.83,62.01,5.69,352579,1.4,8.53%
39,CITR,CitroTech Inc,182.58,35.73,20.65,737798,9.71,8.49%
40,BRID,Bridgford Foods Corp,72.16,2.7,5.93,16013,7.95,8.43%
41,UBCP,"United Bancorp, Inc. (Martins Ferry, OH)",94.29,4.59,7.17,32920,16.38,8.05%
42,NXTT,Next Technology Holding Inc,9.76,98.52,7.41,730414,2,7.53%
43,SGA,"Saga Communications, Inc",77.21,9.69,5.28,51135,11.99,7.15%
44,TUYA,Tuya Inc ADR,1296.53,1448.75,14.43,20902135,2.39,6.22%
45,EFU,ProShares UltraShort MSCI EAFE -2x Shares,,7.45,9.43,70215,9.48,5.83%
46,SACH,Sachem Capital Corp,47.17,155.64,5.5,855426,0.99,5.70%
47,AACG,ATA Creativity Global ADR,32.87,14.29,7.43,106143,1.03,5.26%
48,MKTW,Marketwise Inc,247.65,14.27,5.95,84929,15.45,4.39%
49,HYNE,Hoyne Bancorp Inc,120.65,53.31,10.09,538063,14.9,4.20%
50,UCAR,U Power Ltd,0.91,4834.09,14.84,71740012,0.16,4.15%
51,SFBC,Sound Financial Bancorp Inc,112.6,5.75,7.46,42898,43.88,4.01%
52,WLTH,Wealthfront Corp,1218.98,1440.81,5.88,8471302,8.12,3.97%
53,CMTV,Community Bancorp Inc Vermont,237.57,16.17,22.51,364031,42.39,3.49%
54,CTNT,Cheetah Net Supply Chain Service Inc,5.01,73.61,6.52,479953,1.53,3.38%
55,EFZ,ProShares Short MSCI EAFE -1X Shares,,59.91,8.49,508761,13.1,3.15%
56,ARL,American Realty Investors Inc,249.95,2.5,7.37,18467,15.52,3.03%
