No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,BFRG,Bullfrog AI Holdings Inc,17.48,668.04,872.26,310178901,1.38,171.47%
2,ITRM,Iterum Therapeutics Plc,3.72,2557.02,456.29,621062360,0.07,97.75%
3,ELAB,PMGC Holdings Inc,1.77,825.34,233.03,102379924,3.28,96.40%
4,ASTC,Astrotech Corp,7.56,14.1,11037.91,82834058,4.3,81.24%
5,JCSE,JE Cleantech Holdings Ltd,7.06,1291.55,22.59,15533176,1.41,41.00%
6,ICU,SeaStar Medical Holding Corp,14.21,110.47,20.81,1223801,3.56,29.93%
7,MKDW,MKDWELL Tech Inc,29.73,247.61,6.36,838346,6.21,29.11%
8,GLND,Greenland Energy Co,269.46,581.25,22.74,7034318,10.32,25.70%
9,IONR,ioneer Ltd ADR,344.38,77.67,12.18,503667,4.48,25.14%
10,SLND,Southland Holdings Inc,82.27,391.61,5.25,1095077,1.52,24.61%
11,IDN,Intellicheck Inc,125.48,187.44,12.79,1276274,6.2,21.09%
12,KZR,Kezar Life Sciences Inc,54.33,36.5,42.18,819518,7.42,19.68%
13,AVD,American Vanguard Corp,69.92,285.4,6.45,979995,2.45,18.93%
14,ATHE,Alterity Therapeutics Ltd ADR,66.54,11.92,13.64,86573,3.67,16.14%
15,PRQR,ProQR Therapeutics N.V,166.99,402.51,5.78,1237522,1.59,15.69%
16,SGML,Sigma Lithium Corporation,1347.14,3954.12,7.69,16181619,12.1,15.63%
17,VATE,Innovate Corp,72.39,17.92,11.71,111676,5.3,15.58%
18,LTRN,Lantern Pharma Inc,14.32,170.98,31.17,2836635,1.28,14.29%
19,GV,Visionary Holdings Inc,1.27,1059.56,98.71,55672537,0.23,13.15%
20,CCG,Cheche Group Inc,68.9,80.48,7.28,311925,0.85,11.36%
21,VFS,VinFast Auto Ltd,8831.66,323.73,6.71,1155788,3.78,11.36%
22,APRE,Aprea Therapeutics Inc,8.7,2108.36,8.27,9282152,0.76,11.23%
23,SST,System1 Inc,35.78,1463.13,15.83,12329857,3.62,8.89%
24,TBI,TrueBlue Inc,106.85,259.48,18.04,2491541,3.55,7.38%
25,MMLP,Martin Midstream Partners LP,104.67,14.73,8.11,63565,2.68,7.20%
26,QNTM,Quantum BioPharma Ltd,20.99,228.65,15.48,1883679,5.09,6.81%
27,HOLO,MicroCloud Hologram Inc,29.71,536.64,27.14,7753390,2.04,6.81%
28,ADV,Advantage Solutions Inc,357.44,36.86,5.2,102000,27.29,6.71%
29,EEIQ,EpicQuest Education Group International Limited,11.01,1910.45,21.38,21745199,7.44,6.57%
30,ANTA,Antalpha Platform Holding Co,170.72,6.41,6.06,20665,7.21,5.49%
31,YYGH,YY Group Holding Ltd,10.02,492.23,24.69,6470405,1.08,4.85%
32,BWET,Breakwave Tanker Shipping ETF,,68.06,6.71,242993,124.38,4.46%
33,ELSE,"Electro-Sensors, Inc",15.67,2.83,5.94,8937,4.5,4.16%
34,HXHX,Haoxin Holdings Ltd,5.59,1548.03,23.86,19664502,0.41,3.86%
35,TETH,21Shares Ethereum ETF,,1194.37,7.98,5074132,10.31,3.67%
36,TTXD,Direxion Daily Technology Top 5 Bear 2X ETF,,2.46,18.14,23717,41.23,3.44%
37,UTSI,UTStarcom Holdings Corp,23.68,4.21,10.3,23064,2.5,3.31%
38,PBRG,Leverage Shares 2X Long PBR Daily ETF,,5.85,10.72,33415,47.88,3.15%
