No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,AFJK,Aimei Health Technology Co Ltd,459.13,11.65,40.28,327609,75,167.85%
2,ARAI,Arrive AI Inc,45.07,1097.73,389.08,298095789,1.24,84.66%
3,DKI,Darkiris Inc,12.8,5198.08,35.69,129478559,0.72,81.89%
4,GAME,GameSquare Holdings Inc,39.61,1257.67,283.89,249190965,0.4,59.57%
5,EOSU,T-REX 2X Long EOSE Daily Target ETF,,951.18,7.08,4698615,1.22,53.67%
6,ZNTL,Zentalis Pharmaceuticals Inc,292.24,973.45,11.65,7917842,4.12,49.28%
7,ONCO,Onconetix Inc,1.16,1368.67,218.92,209130274,1.62,43.47%
8,GIPR,Generation Income Properties Inc,2.05,397.33,140.55,38978030,0.38,42.61%
9,YMT,Yimutian Inc. ADR,25.53,2059.08,134.76,193667567,0.24,36.38%
10,GPUS,Hyperscale Data Inc,74.5,24575.85,11.27,193342284,0.19,36.34%
11,ELAB,PMGC Holdings Inc,11.3,6064.91,12.69,53695976,5.83,29.56%
12,CLIK,Click Holdings Ltd,8.79,246.34,165.3,28421240,2.69,28.33%
13,FBRX,Forte Biosciences Inc,467.33,228.61,12.07,1926485,33.65,28.11%
14,RELL,"Richardson Electronics, Ltd",210.42,133.61,6.26,583460,14.7,25.00%
15,GLMD,Galmed Pharmaceuticals Ltd,5.06,50.19,4790.23,167797636,0.77,23.14%
16,IQST,iQSTEL Inc,11.16,78.24,10.61,579517,2.2,22.91%
17,CHOW,ChowChow Cloud International Holdings Ltd,16.01,7142.04,5.53,27559074,0.46,21.60%
18,PMAX,Powell Max Ltd,1.29,1727.13,82.34,99260400,0.45,20.92%
19,LEDS,Semileds Corp,12.67,10.66,8.83,65498,1.54,18.15%
20,ANTA,Antalpha Platform Holding Co,189.42,6.25,24.06,104895,8,17.47%
21,ASPC,A SPAC III Acquisition Corp,30.03,49.07,5.72,195733,12.85,17.41%
22,GNLN,Greenlane Holdings Inc,1.73,114.58,6.71,534957,2.76,16.24%
23,OTH,Off The Hook YS Inc,82.31,62.14,6,259306,3.38,15.90%
24,SKYQ,Sky Quarry Inc,28.6,5316.14,5.38,19967974,7.61,15.13%
25,MIST,Milestone Pharmaceuticals Inc,238.17,2227.84,5.83,9061334,2.02,13.71%
26,ICCC,Immucell Corp,65.32,16.06,6.88,76807,7.22,13.17%
27,WSR,Whitestone REIT,1948.64,240.93,27.41,4608681,18.92,11.69%
28,MFI,mF International Ltd,623.7,8.64,7.71,46301,12.43,10.88%
29,NXL,Nexalin Technology Inc,7.98,299.81,71.51,14910969,0.39,10.80%
30,PRQR,ProQR Therapeutics N.V,208.09,435.86,5.12,1556087,1.98,7.92%
31,FCHL,Fitness Champs Holdings Ltd,2.34,1318.02,5,4585492,2.06,6.74%
32,LOBO,Lobo Technologies Ltd,5.86,59.07,12.84,527677,0.49,6.47%
33,MAAS,Maase Inc,1903.95,31.92,7.21,160049,6.08,4.11%
34,BMAX,REX Bitcoin Corporate Treasury Convertible Bond ETF,,0.77,7.77,4141,24.16,3.54%
35,NUAI,New Era Energy & Digital Inc,243.28,4788.81,5.59,18677457,4.28,3.50%
