No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,MLEC,Moolec Science SA,6.99,319.11,244.15,42989772,9.64,89.02%
2,FGL,Founder Group Ltd,6.24,51.69,37.82,1078849,19.4,60.73%
3,JDZG,Jiade Ltd,62.62,1254.72,45.49,31492586,2.68,58.58%
4,CRSR,Corsair Gaming Inc,759.73,1189.13,61.41,40295458,7.13,55.65%
5,RVNL,GraniteShares 2x Long RIVN Daily ETF,,67.89,6.05,225672,41.48,51.42%
6,ATOM,Atomera Inc,113.26,508.68,71.04,19940007,3.58,49.58%
7,VVPR,VivoPower International PLC,32.91,527.47,12.78,3719964,1.96,38.03%
8,PHIO,Phio Pharmaceuticals Corp,17.76,3282.4,7.72,13976725,1.65,35.25%
9,COIA,ProShares Ultra COIN,,38.95,10.99,235134,5.45,35.24%
10,CPS,Cooper-Standard Holdings Inc,814.12,165.22,7.84,715191,46.16,35.17%
11,CONL,GraniteShares 2x Long COIN Daily ETF,,7388.54,7.11,28981801,6.89,33.69%
12,CONX,Direxion Daily COIN Bull 2X ETF,,13.81,20.02,151834,8.32,32.52%
13,COIG,Leverage Shares 2X Long COIN Daily ETF,,76.19,6.62,276952,6.77,32.49%
14,DBGI,Digital Brands Group Inc,36.69,328.7,6.14,1108669,4.48,30.61%
15,AMWL,American Well Corporation,91.35,115.61,7.64,487063,5.58,28.87%
16,TPH,Tri Pointe Homes Inc,3981.39,862.3,32.36,15397771,46.32,26.66%
17,IMUX,Immunic Inc,132.35,1634.19,59.39,53552598,1.1,26.46%
18,IVDA,Iveda Solutions Inc,4.08,3548.67,94.79,185609768,0.37,26.41%
19,SAGT,Sagtec Global Ltd,19.07,47.14,8.6,222630,1.52,24.59%
20,CNVS,Cineverse Corp,48.64,139.76,34.03,2613003,2.54,22.12%
21,MIMI,Mint Inc Ltd,8.54,5604.35,23.05,71291609,0.34,22.04%
22,QVCGA,QVC Group Inc,35.55,108.68,7.25,432580,3.95,20.80%
23,COIW,Roundhill COIN WeeklyPay ETF,,134.29,5.15,379652,12.66,20.69%
24,NCI,Neo Concept International Group Holdings Ltd,10.55,2223.19,18.76,23012695,2.6,19.04%
25,ICLR,Icon Plc,7246.55,1382.36,8.6,6560744,94.9,18.51%
26,MGA,Magna International Inc,19058.81,1548.38,6.21,5304897,67.63,16.97%
27,MSTP,GraniteShares 2x Long MSTR Daily ETF,,484.89,7.05,1876985,1.78,16.72%
28,OLB,OLB Group Inc,5.32,137.43,41.47,3130755,0.4,16.44%
29,RAIN,Rain Enhancement Technologies Holdco Inc,21.25,28.71,17.85,281563,2.6,15.85%
30,ANEL,Defiance Daily Target 2x Long ANET ETF,,65.03,5.05,180442,18.95,14.82%
31,RIME,Algorhythm Holdings Inc,3.38,1766.89,33.42,32436512,1.24,14.81%
32,FSLY,Fastly Inc,2743.69,6018.58,9.89,32852694,18.36,14.49%
33,SIF,SIFCO Industries Inc,63.81,28.51,11.1,173816,10.27,12.21%
34,MTVA,MetaVia Inc,6.1,223.24,16.79,2058942,1.84,10.84%
35,GP,GreenPower Motor Company Inc,3.28,1425.27,10.38,8165976,1.07,10.37%
36,BLIV,BeLive Holdings,39.32,5.68,20.31,63392,3.3,10.00%
37,QSOL,Invesco Galaxy Solana ETF.,,18.77,5.22,53830,8.47,9.89%
38,BOF,BranchOut Food Inc,42.98,78.56,5.46,235539,3.2,9.76%
39,VTAK,Catheter Precision Inc,2.32,62.68,28.86,998282,1.39,9.45%
40,LINC,Lincoln Educational Services Corp,938.12,249.36,5.08,699081,29.67,8.66%
41,BRTX,BioRestorative Therapies Inc,2.36,339.52,144.98,27161880,0.27,8.39%
42,NETG,Leverage Shares 2X Long NET Daily ETF,,40.07,6.68,147146,11.36,8.19%
43,AVX,AVAX One Technology Ltd,61.94,594.88,15.13,4945259,0.68,7.67%
44,ROKU,Roku Inc,13185.36,3121.99,5.61,9669631,89.24,7.61%
45,WULX,Tradr 2X Long WULF Daily ETF,,261.21,6.09,873934,28.46,7.56%
46,QETH,Invesco Galaxy Ethereum ETF,,120.78,5.55,368564,20.51,7.55%
47,NOWL,GraniteShares 2x Long NOW Daily ETF,,342.46,5.24,985375,6.55,7.03%
48,ABNG,Leverage Shares 2x Long ABNB Daily ETF,,1.75,8.54,8221,13.78,6.68%
49,CCFE,Concourse Capital Focused Equity ETF,,2.58,10.89,15452,31.97,6.44%
50,APPX,Tradr 2X Long APP Daily ETF,,1467.48,7,5668019,9,6.26%
51,BMGL,Basel Medical Group Ltd,12.17,80.77,6.76,299772,0.65,6.23%
52,PSIG,PS International Group Ltd,45.7,73.16,7.2,289328,5.3,5.79%
53,EVO,Evotec SE ADR,1281.29,158.17,8.74,759560,3.61,5.10%
54,BEG,Leverage Shares 2x Long BE Daily ETF,,25.89,5.31,75568,31.33,4.84%
55,ENB,Enbridge Inc,117712.78,4468.67,6.63,16357851,53.97,4.10%
56,FMFC,Kandal M Venture Ltd,6.19,1529,24.01,20258728,0.34,3.97%
