No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,GV,Visionary Holdings Inc,2.49,5652.73,102.5,579390187,0.44,116.78%
2,SKYQ,Sky Quarry Inc,19.16,892.68,230.91,206129575,5.1,101.58%
3,TMDE,TMD Energy Ltd,,6887.95,12.73,87695182,1.87,76.42%
4,SELX,Semilux International Ltd,19.86,238.87,370.99,88618352,0.53,50.90%
5,COCP,Cocrystal Pharma Inc,20.82,62.36,2202.03,137317487,1.51,48.04%
6,FC,Franklin Covey Co,269.41,161.52,12.43,2007364,23.32,44.40%
7,BDRX,Biodexa Pharmaceuticals Plc ADR,1.97,251.2,482.59,121227423,0.87,42.23%
8,VSA,VisionSys AI Inc ADR,0.56,4524.7,23.03,104221107,0.71,39.23%
9,LUD,Luda Technology Group Ltd,,75.75,5.12,387555,4.45,38.20%
10,TURB,Turbo Energy S.A. ADR,35.04,5103.44,7.11,36309869,3.18,35.32%
11,AIXI,Xiao-I Corp ADR,1.76,6556.29,41.44,271666840,0.13,33.10%
12,PFSA,Profusa Inc,1.03,412.21,27.45,11313519,0.76,30.98%
13,SLSN,Solesence Inc,98.89,31.62,5.1,161387,1.4,30.23%
14,DLXY,Delixy Holdings Ltd,9.47,1639.18,8.69,14245409,0.58,22.56%
15,RCON,Recon Technology Ltd,11.22,41.65,42.11,1753697,0.96,21.81%
16,KODK,Eastman Kodak Co,1096.88,902.12,7.33,6611582,11.25,20.32%
17,SBAC,SBA Communications Corp,21585.1,938.89,6.99,6566541,204.04,18.93%
18,AGPU,Axe Compute Inc,22.54,1612.32,5.48,8831419,4.07,14.33%
19,VATE,Innovate Corp,106.02,20.41,5.07,103402,7.77,13.76%
20,GSAT,Globalstar Inc,9992.53,719.67,6.74,4852670,77.73,13.42%
21,LNOK,Defiance Daily Target 2X Long NOK ETF,,5.92,17.21,101960,35.04,12.35%
22,VFS,VinFast Auto Ltd,10621.39,378.37,7.12,2694109,4.54,10.73%
23,CNTB,Connect Biopharma Holdings Ltd,167.14,164.35,5.23,859168,2.99,9.93%
24,HTCO,High-Trend International Group,79.91,87.85,15.92,1398869,10.82,9.29%
25,SVC,Service Properties Trust,213.44,2658.15,31.2,82938394,1.27,7.63%
26,BTBD,BT Brands Inc,11.23,174.52,6.45,1125954,1.89,7.39%
27,TKLF,Tokyo Lifestyle Co Ltd. ADR,9.73,9.32,122.35,1140564,2.3,6.98%
28,DBE,Invesco DB Energy Fund,,56.04,9.39,526204,30.38,5.60%
29,TANH,Tantech Holdings Ltd,2.64,157.27,13.96,2194712,0.41,4.54%
30,NCT,Intercont (Cayman) Ltd,3.36,113.32,32.42,3673863,2.76,4.45%
31,IBX,Tradr 2X Long IBM Daily ETF,,1.65,5.1,8425,24.8,3.51%
