No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,OLB,OLB Group Inc,19.89,216.6,2182.24,472681950,1.48,256.54%
2,SGN,Signing Day Sports Inc,5.75,26950.7,8.16,219796730,0.42,67.69%
3,PLYX,Polaryx Therapeutics Inc,187.47,169.68,321.69,54584955,3.96,64.32%
4,BDMD,Baird Medical Investment Holdings Limited,46.28,129.95,398.13,51736555,1.26,63.64%
5,ATOM,Atomera Inc,181.53,957.19,36.46,34899838,5.73,46.17%
6,ETRL,GraniteShares 2x Long ETOR Daily ETF,,5.05,8.49,42919,10.17,42.25%
7,CBUS,Cibus Inc,220.43,266.93,8.66,2312921,3.26,41.74%
8,GVH,Globavend Holdings Ltd,2.75,415.04,167.33,69449243,1.3,41.26%
9,VHUB,Venhub Global Inc,249.42,1755.73,5.18,9098409,3.33,36.48%
10,LFS,Leifras Co Ltd ADR,86.33,938.91,23.55,22112519,3.3,36.36%
11,GXAI,Gaxos.AI Inc,12.27,5415.69,17.39,94190658,1.42,35.24%
12,GMM,Global Mofy AI Ltd,73.86,26.86,112.44,3020416,1.49,34.23%
13,MASI,Masimo Corp,9383.29,749.6,19.76,14811578,174.69,34.22%
14,IBG,Innovation Beverage Group Ltd,3.71,77.19,9.63,743589,5.34,32.84%
15,CMPS,Compass Pathways Plc ADR,732.48,1378.14,25.38,34970451,7.63,31.33%
16,PHOE,Phoenix Asia Holdings Ltd,295.27,70,7.28,509758,13.67,28.48%
17,ZIM,Zim Integrated Shipping Services Ltd,3354.75,4314.66,9.17,39577182,27.85,25.45%
18,AUUD,Auddia Inc,2.59,220.83,12.34,2725182,0.83,24.12%
19,EEIQ,EpicQuest Education Group International Limited,5.27,9.98,26.11,260665,3.57,23.85%
20,SAGT,Sagtec Global Ltd,27.11,52.12,8.03,418717,2.16,21.35%
21,CHOW,ChowChow Cloud International Holdings Ltd,25.9,8315.04,6.25,51951967,0.74,18.62%
22,SIF,SIFCO Industries Inc,80.18,33.49,13.25,443928,12.9,17.27%
23,IRON,Disc Medicine Inc,2475.28,648.54,5.53,3583596,65.57,17.19%
24,NESR,National Energy Services Reunited Corp,2435.8,1085.31,6.03,6541400,24.17,16.03%
25,VVPR,VivoPower International PLC,40.97,637.72,6.2,3956702,2.44,15.64%
26,EYPT,EyePoint Inc,1234.36,1120.66,7.78,8720496,14.91,15.22%
27,KW,Kennedy-Wilson Holdings Inc,1497.64,843.4,8.2,6912117,10.86,9.81%
28,BTBD,BT Brands Inc,7.84,31.57,9.64,304329,1.32,9.09%
29,TWAV,TaoWeave Inc,2.47,57.43,5.47,314291,0.77,8.76%
30,WAY,Waystar Holding Corp,4650.9,2200.41,5.66,12464358,24.31,8.48%
31,CNVS,Cineverse Corp,53.03,188.2,8.72,1641818,2.71,8.40%
32,OBAI,Our Bond Inc,34.85,164.55,201.48,33153569,3.39,8.31%
33,OFAL,OFA Group,,127.85,16.39,2094937,0.54,8.25%
34,ATCH,AtlasClear Holdings Inc,36.14,5119.94,5.71,29235741,0.25,3.56%
35,EDF,Virtus Stone Harbor Emerging Markets Income Fund,167.83,148.66,6.55,974417,5.24,2.75%
36,PBEU,Portfolio Building Block European Banks Index ETF,,43.56,203.51,8864818,29.91,2.60%
