No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ACXP,Acurx Pharmaceuticals Inc,15.37,748.78,142.73,106873717,6.03,107.93%
2,SAFX,XCF Global Inc,115.92,21338.6,5.92,126411643,0.5,74.50%
3,SXTP,60 Degrees Pharmaceuticals Inc,5.09,3529.76,16.18,57123075,3.22,71.28%
4,ASNS,Actelis Networks Inc,4.85,22313.46,16.99,379039061,0.56,47.57%
5,BODI,Beachbody Company Inc,77.33,44.37,5.8,257190,10.91,30.97%
6,OCGN,Ocugen Inc,754.17,5455.04,7.5,40911694,2.3,29.94%
7,CVGI,Commercial Vehicle Group Inc,74.56,160.16,288.41,46190047,2.03,25.31%
8,KALA,Kala Bio Inc,332.54,1505.35,192.45,289711449,0.36,24.16%
9,AHG,Akso Health Group ADR,1878.89,17.98,12.51,224994,2.2,23.60%
10,ADAG,Adagene Inc ADR,167.31,130.27,16.31,2125099,3.55,21.16%
11,FTEL,GMEX Robotics,2.7,209.83,5.08,1066162,1.91,20.89%
12,ACTG,Acacia Research Corp,482.3,202.08,13.69,2766659,5,20.48%
13,CYN,Cyngn Inc,15.31,2718.65,16.34,44412179,1.92,20.00%
14,HIMZ,Defiance Daily Target 2X Long HIMS ETF,,21355.74,5.63,120295121,2.72,19.82%
15,ANNA,AleAnna Inc,231.95,154.3,5.16,796500,3.48,19.59%
16,SCNX,Scienture Holdings Inc,18.86,925.21,153.83,142323429,0.46,19.46%
17,PZZA,"Papa John's International, Inc",1275.02,1094.51,7.09,7758111,38.86,19.42%
18,SAGT,Sagtec Global Ltd,27.36,54.8,28.11,1540391,2.18,19.13%
19,ORCU,Direxion Daily ORCL Bull 2X ETF,,610.43,6.82,4161130,12.02,18.07%
20,JOB,GEE Group Inc,28.65,842.31,51.77,43605500,0.26,15.86%
21,WORX,SCWorx Corp,2.31,11926.59,7.83,93346404,0.15,15.32%
22,MGN,Megan Holdings Ltd,49.07,302.03,6.66,2010799,3.02,15.27%
23,APYX,Apyx Medical Corp,161.24,106.83,5.25,560981,3.93,13.91%
24,DOMO,Domo Inc,207.74,1258.82,19.38,24400662,4.97,13.47%
25,GIFT,Giftify Inc,26.63,49.88,13.41,668900,0.86,13.16%
26,GSUN,Golden Sun Technology Group Ltd,5.71,119.21,708.76,84492933,0.57,12.33%
27,PATX,Tradr 2X Long PATH Daily ETF,,49.46,9.29,459406,11.66,12.01%
28,SABS,SAB Biotherapeutics Inc,233.36,383.93,7.3,2801840,4.58,11.71%
29,PBRG,Leverage Shares 2X Long PBR Daily ETF,,3.01,5.27,15868,39.31,10.94%
30,RDGT,Ridgetech Inc,36.93,9.95,10.87,108127,2.02,10.38%
31,NCSM,NCS Multistage Holdings Inc,170.58,12.34,6.96,85862,67.01,8.75%
32,HTCO,High-Trend International Group,66.62,53.34,5.71,304399,9.02,8.67%
33,ARQ,Arq Inc,76,589.34,7.67,4518853,1.78,8.54%
34,CRCD,T-REX 2X Inverse CRCL Daily Target ETF,,987.3,6.14,6062920,5.85,8.54%
35,AUNA,Auna S.A,384.86,367.08,6.82,2503981,5.2,8.33%
36,TSSI,TSS Inc,344.41,1116.47,12.08,13489575,11.94,8.05%
37,UPLD,Upland Software Inc,16.14,211.12,7.26,1532521,0.55,6.63%
38,UNF,Unifirst Corp,4772.72,234.19,10.2,2388911,274.89,6.58%
39,MYSE,Myseum Inc,7.85,47.29,11.19,529211,1.87,6.55%
40,WEYS,"Weyco Group, Inc",327.8,10.55,7.1,74978,34.33,6.42%
41,SERA,Sera Prognostics Inc,74.49,48.46,15.51,751751,1.93,5.46%
42,AIRT,Air T Inc,59.14,2.67,6.07,16214,22.38,4.19%
43,VSA,VisionSys AI Inc ADR,1,94.99,8.15,774393,1.27,3.25%
44,TLYS,Tillys Inc,49.67,58.69,223.79,13133811,1.63,3.16%
45,WOOF,Petco Health and Wellness Co Inc,674.99,1805.1,5.59,10092128,2.4,3.00%
46,FTXN,First Trust Nasdaq Oil & Gas ETF,,36.55,16.29,595528,35.69,2.66%
47,CDXS,Codexis Inc,114.71,1239.65,7.42,9203244,1.27,2.42%
48,IPW,iPower Inc,2.91,291.42,5.38,1568791,2.2,2.33%
49,USO,United States Oil Fund,,14979.4,5.29,79248038,108.05,2.07%
50,MYNZ,Mainz Biomed N.V,7.64,481.83,10.89,5246515,0.84,2.07%
51,TSLO,Leverage Shares 2x Capped Accelerated TSLA Monthly ETF,,0.39,6.89,2712,18.39,1.94%
52,MIN,MFS Intermediate Income Trust,291.33,237.49,6.01,1428093,2.56,1.59%
