No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,APLS,Apellis Pharmaceuticals Inc,5149.62,2801.99,52.2,63248271,40.28,135.72%
2,MASK,3 E Network Technology Group Ltd,3.02,213.84,1075.78,99478412,2.67,115.56%
3,HKIT,Hitek Global Inc,2.09,18605.62,76.6,616309057,0.07,79.00%
4,KIDZ,Classover Holdings Inc,4.2,666.16,274.83,79169814,3.42,66.82%
5,BFRG,Bullfrog AI Holdings Inc,21.22,7517.53,41.91,136252124,1.67,59.52%
6,CNTA,Centessa Pharmaceuticals plc ADR,5374.11,1419.21,42.18,25885062,39.98,44.96%
7,WSHP,WeShop Holdings Ltd,169.8,58.85,58.71,1493985,7.24,42.02%
8,OXBR,Oxbridge Re Holdings Ltd,9.06,36.55,1791.13,28308922,1.18,36.04%
9,VRAX,Virax Biolabs Group Ltd,1.6,290.61,1761.11,221320576,0.22,32.37%
10,NPT,Texxon Holding Ltd,136.33,978.1,10.76,4549445,6.15,28.83%
11,SNAG,Leverage Shares 2x Long SNAP Daily ETF,,45.74,6.19,122383,4.8,24.83%
12,IMDX,Insight Molecular Diagnostics Inc,102.14,91.83,8.11,322138,3.17,24.51%
13,DWSN,Dawson Geophysical Company,101.11,144.64,5.95,372078,3.26,23.35%
14,CTXR,Citius Pharmaceuticals Inc,18.52,531.88,5.08,1168122,0.83,21.66%
15,MODD,Modular Medical Inc,25.77,30.2,16.13,210713,5.53,21.55%
16,LTRN,Lantern Pharma Inc,16.44,234.69,129.45,13138115,1.47,19.04%
17,GLBS,Globus Maritime Ltd,49.86,63.96,16.23,449054,2.31,18.46%
18,ALKS,Alkermes plc,5947.74,2158.03,6.77,6317491,35.69,18.37%
19,GV,Visionary Holdings Inc,1.49,2058.95,155.35,138314750,0.27,17.36%
20,BURU,Nuburu Inc,22.44,21927.87,7.38,69955679,0.18,17.00%
21,MGN,Megan Holdings Ltd,2.64,2064.74,100.92,90109921,0.16,14.72%
22,AFBI,Affinity Bancshares Inc,135.61,3.84,153.42,254816,22.25,13.50%
23,GURE,Gulf Resources Inc,8.12,25.17,7.31,79633,5.88,12.65%
24,SST,System1 Inc,34.84,1721.48,6.3,4693118,3.52,12.11%
25,SPCE,Virgin Galactic Holdings Inc,177.34,3103.57,12.1,16238735,2.42,11.75%
26,ADTX,Aditxt Inc,0.46,216.73,5.38,503817,0.88,11.27%
27,ELAB,PMGC Holdings Inc,2.14,2828.4,13.5,16506084,3.94,10.67%
28,CPAC,Cementos Pacasmayo S.A.A. ADR,889.24,22.04,19.23,183338,10.49,10.07%
29,AIXI,Xiao-I Corp ADR,1.47,1261.94,6.43,3510668,0.11,9.97%
30,USBC,USBC Inc,139.77,1482.65,7.94,5092630,0.36,9.45%
31,LNKS,Linkers Industries Ltd,0.28,29461.36,25.75,328078733,0.02,9.37%
32,SCYX,Scynexis Inc,38.22,375.69,67.21,10919003,0.86,8.37%
33,POLA,Polar Power Inc,5.55,2079.68,34.72,31226642,2.09,7.18%
34,ZNB,Zeta Network Group,3.39,92.26,5.05,201313,2.14,6.60%
35,ARMH,Arm Holdings PLC ADRhedged,,1.45,10.98,6864,62.61,6.16%
36,FGRU,T-REX 2X Long FIGR Daily Target ETF,,66.3,5.03,144296,13.73,6.11%
37,IDN,Intellicheck Inc,137.72,224.07,5.33,516387,6.8,6.00%
38,GEVG,Leverage Shares 2X Long GEV Daily ETF,,31.42,5.66,76933,20.77,5.93%
39,WZRD,Opportunistic Trader ETF,,11.43,8.2,40527,19.32,5.52%
40,MAAS,Maase Inc,1800.61,17.84,11.17,86161,5.75,5.50%
41,PONX,Tradr 2X Long PONY Daily ETF,,28.25,7.06,86307,6.2,5.26%
42,NCT,Intercont (Cayman) Ltd,2.16,954.36,166.49,68710192,0.07,5.21%
43,QQQU,Direxion Daily Magnificent 7 Bull 2X ETF,,73.16,6.92,219003,40.81,5.04%
44,EVTL,Vertical Aerospace Ltd,216.32,1455.33,8.17,5141910,2.11,4.65%
45,KBDU,KraneShares 2x Long BIDU Daily ETF,,3.85,6.73,11200,19.55,4.10%
46,NVDO,Leverage Shares 2x Capped Accelerated NVDA Monthly ETF,,0.87,6.08,2299,17.7,3.19%
