No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,UGRO,Urban-gro Inc,4.63,101.71,1583.42,161049034,6.15,182.11%
2,MGRX,Mangoceuticals Inc,5.28,7326.89,42.23,309382124,0.32,99.81%
3,PTLE,PTL Ltd,50.31,58.62,170.2,9977587,8.01,87.59%
4,BIAF,BioAffinity Technologies Inc,21.28,7055.82,9.14,64496713,4.73,73.26%
5,LICN,Lichen International Ltd,74.61,6.27,26.71,167418,4.4,49.15%
6,ZYBT,Zhengye Biotechnology Holding Ltd,47.39,25.52,432.76,11046077,1,40.85%
7,QNTM,Quantum BioPharma Ltd,12.77,140.24,10,1401876,3.1,38.39%
8,NAMI,Jinxin Technology Holding Co ADR,58.11,20.28,10.32,209291,0.85,37.58%
9,GMEX,GMEX Robotics Corp,1.58,292,155.57,45425535,1.12,34.94%
10,SOS,SOS Limited,43.63,77.26,11.66,901075,1.21,34.44%
11,FFAI,Faraday Future Intelligent Electric Inc,71.96,13213.08,17.67,233526176,0.35,29.87%
12,FUFU,BitFuFu Inc,334.63,86.96,12.72,1106274,2.01,28.85%
13,SLND,Southland Holdings Inc,63.31,121.03,6.23,753672,1.17,27.34%
14,BNGO,Bionano Genomics Inc,14.85,187.19,40.98,7671404,1.46,26.96%
15,PMAX,Powell Max Ltd,1.26,946.51,30.1,28489897,0.44,26.31%
16,ABVE,Above Food Ingredients Inc,45.04,1627.55,7.54,12269763,0.88,25.71%
17,MRLN,Merlin Inc,329.49,288.74,5.18,1496588,9.76,22.00%
18,NAUT,Nautilus Biotechnology Inc,458.16,208.68,5.21,1087967,3.62,19.47%
19,CV,CapsoVision Inc,383.17,379.87,5.17,1965802,8.18,19.07%
20,RDGT,Ridgetech Inc,65.47,27.68,62.93,1741995,3.58,18.15%
21,VRM,Vroom Inc,70.51,7.89,10.13,79985,13.56,14.72%
22,BGM,BGM Group Ltd,125.1,49.36,128.9,6363066,0.68,13.33%
23,GDC,GD Culture Group Limited,150.18,46.09,6.56,302289,2.62,12.93%
24,GDXU,MicroSectors Gold Miners 3X Leveraged ETN,,872.31,5.36,4672582,158.23,12.29%
25,APM,Aptorum Group Ltd,9.86,54.5,9.8,533997,1.21,12.04%
26,SMCL,GraniteShares 2x Long SMCI Daily ETF,,6820.95,6.46,44094250,1.59,11.19%
27,SCO,ProShares UltraShort Bloomberg Crude Oil -2x Shares,,10999.61,7.6,83623545,8.77,10.59%
28,CDLX,Cardlytics Inc,50.19,843.57,5.62,4741413,0.91,10.50%
29,OSRH,OSR Holdings Inc,12.3,1358.66,6.74,9150681,0.48,9.59%
30,SMCX,Defiance Daily Target 2x Long SMCI ETF,,1938.36,7.83,15182149,7.91,9.17%
31,WRD,WeRide Inc. ADR,2243.26,3967.18,6.36,25219210,6.92,8.98%
32,TOVX,Theriva Biologics Inc,9.64,10094.62,25.49,257294328,0.21,8.42%
33,HTCO,High-Trend International Group,64.11,44.49,8.28,368403,8.68,8.36%
34,APHU,T-REX 2X Long APH Daily Target ETF,,5.23,8.93,46729,18.83,6.99%
35,DULL,MicroSectors Gold -3X Inverse Leveraged ETNs,,24.14,24.61,593992,64.51,6.42%
36,JETU,MAX Airlines 3X Leveraged ETNs,,2.91,6.78,19697,24.98,6.05%
37,ASRT,Assertio Holdings Inc,90.23,57.99,5.92,343223,14,4.71%
38,CNL,Collective Mining Ltd,1248.9,67.1,5.6,375619,14.48,3.65%
39,BBU,Brookfield Business Partners L.P,2734.89,35.42,10.21,361765,30.84,3.56%
40,AIVC,Amplify Bloomberg AI Value Chain ETF,,2.08,5.06,10540,72.39,3.20%
41,EMOP,AB Emerging Markets Opportunities ETF,,30.19,6.8,205400,43.96,2.59%
42,AVD,American Vanguard Corp,69.06,251.97,5.02,1265110,2.42,2.54%
43,XLYI,State Street Consumer Discretionary Select Sector SPDR Premium Income,,1.74,10.04,17498,22.75,2.46%
44,AZTD,Aztlan Global Stock Selection DM SMID ETF,,0.56,30.12,16868,28.76,2.37%
45,QLD,ProShares Ultra QQQ 2x Shares,,5092.54,5.05,25732497,63.58,2.33%
46,FWD,AB Disruptors ETF,,162.81,11.11,1808634,110.55,2.33%
47,WRND,NYLI Global Equity R&D Leaders ETF,,0.8,5.58,4478,36.43,2.23%
48,ISCF,iShares International Small-Cap Equity Factor ETF,,59.25,5.26,311366,41.48,2.17%
49,PNBK,Patriot National Bancorp Inc,166.74,266.21,5.05,1344336,1.45,2.11%
50,CRBN,iShares Low Carbon Optimized MSCI ACWI ETF,,8.82,9.24,81497,224.31,2.08%
51,DVXE,WEBs Energy XLE Defined Volatility ETF,,0.86,13.56,11656,40.22,2.07%
52,TMAR,FT Vest Emerging Markets Buffer ETF - March,,1.14,26,29688,23.8,2.01%
