No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ARTL,Artelo Biosciences Inc,7.47,1314.07,62.45,82057761,10.54,230.41%
2,SST,System1 Inc,32.86,19.28,4625.1,89159934,3.32,142.34%
3,IZM,Iczoom Group Inc,10.56,65.4,1546.16,101124363,0.88,94.54%
4,NXTT,Next Technology Holding Inc,10.75,1153.24,10.99,12677373,2.2,48.65%
5,GVH,Globavend Holdings Ltd,2.96,1720.79,14.02,24121782,1.4,35.92%
6,EGG,Enigmatig Ltd,203.32,14.28,5.08,72548,7.26,32.00%
7,MSC,Studio City International Holdings Ltd ADR,649.03,3.51,41.72,146445,3.37,27.17%
8,TBN,Tamboran Resources Corp,982.67,60.8,7,425509,43.4,25.63%
9,NTRP,NextTrip Inc,36.22,59.65,9.73,580372,2.65,20.45%
10,NSYS,Nortech Systems Inc,32.96,5.27,22.57,118866,11.83,19.86%
11,SONM,DNA X Inc,4.88,51.85,17.83,924502,3.28,19.27%
12,APUS,Apimeds Pharmaceuticals US Inc,24.02,18.63,6.97,129795,1.91,17.18%
13,EPOW,E-Power Inc,39.89,147.06,7.27,1069493,1.03,16.98%
14,ADV,Advantage Solutions Inc,334.98,34.35,5.53,189961,25.57,13.27%
15,CRDL,Cardiol Therapeutics Inc,139.6,432.08,7.83,3382012,1.25,12.61%
16,CUPR,Cuprina Holdings (Cayman) Ltd,2.94,209.08,18.49,3864837,0.4,11.66%
17,ADMA,Adma Biologics Inc,2202.97,4293.15,5.21,22359951,9.25,11.58%
18,GRNQ,Greenpro Capital Corp,22.78,18.97,5.06,95997,2.72,9.68%
19,ASTC,Astrotech Corp,4.17,11.16,8.68,96899,2.37,9.22%
20,LUD,Luda Technology Group Ltd,,49.78,12.04,599434,3.88,8.99%
21,HTCO,High-Trend International Group,56.58,76.73,11.7,897548,7.66,7.89%
22,SDD,ProShares UltraShort SmallCap600 -2x Shares,,3.22,18.93,60998,12.08,3.30%
23,DBE,Invesco DB Energy Fund,,44.32,8.36,370558,30.35,3.23%
24,DVXE,WEBs Energy XLE Defined Volatility ETF,,1.6,15.99,25610,44.03,3.13%
