No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ALBT,Avalon GloboCare Corp,4.98,282.91,1164.95,329573903,1.09,114.48%
2,AEHL,Antelope Enterprise Holdings Ltd,9.99,1798.78,128.27,230723258,1.08,108.90%
3,RXT,Rackspace Technology Inc,555.39,17173.64,8.94,153583666,2.28,68.89%
4,BFLY,Butterfly Network Inc,1179.66,4988.33,12.96,64627197,4.67,50.65%
5,LVWR,LiveWire Group Inc,478.15,104.86,14.74,1545158,2.34,47.17%
6,MGN,Megan Holdings Ltd,29.25,56.22,46.57,2618153,1.8,46.34%
7,CURX,Curanex Pharmaceuticals Inc,13.03,835.5,248.99,208033316,0.46,45.77%
8,IONX,Defiance Daily Target 2X Long IONQ ETF,,3187.69,5.08,16195167,14.79,42.35%
9,IONL,GraniteShares 2x Long IONQ Daily ETF,,361.71,5.8,2097746,22.67,41.95%
10,SEZL,Sezzle Inc,2892.77,816.64,5.47,4470963,84.7,35.26%
11,RRGB,Red Robin Gourmet Burgers Inc,86.77,194.61,20.03,3898762,4.83,33.06%
12,GCT,GigaCloud Technology Inc,1740.92,501.42,5.33,2673166,46.98,33.05%
13,ANNA,AleAnna Inc,223.29,16.16,13.45,217373,3.35,29.84%
14,IBTA,Ibotta Inc,700.46,333.54,5.18,1728358,26.35,28.54%
15,DNUT,Krispy Kreme Inc,654.37,2318.91,8.24,19099854,3.82,27.76%
16,LMAT,Lemaitre Vascular Inc,2579.18,159.14,7.96,1266630,113.69,24.41%
17,FA,First Advantage Corp,2035.4,758.37,5.96,4516547,11.69,22.79%
18,PMVP,PMV Pharmaceuticals Inc,72.9,252.32,13.75,3468497,1.37,22.32%
19,SMJF,SMJ International Holdings Inc,25.53,713.57,11.89,8485029,2,21.21%
20,RSVR,Reservoir Media Inc,586.47,63.34,9.45,598302,8.94,17.94%
21,NVAX,"Novavax, Inc",1818.37,4304.96,5.56,23919407,11.19,17.42%
22,CBZ,Cbiz Inc,1727.79,868.39,8.17,7094869,31.76,16.42%
23,CARL,Carlsmed Inc,387.2,92.34,8.01,739809,14.56,15.92%
24,ZENV,Zenvia Inc,17.09,186.47,6.99,1303974,0.32,15.62%
25,SBEV,Splash Beverage Group Inc,1.64,686.88,48.59,33374681,0.54,14.73%
26,IMTE,Integrated Media Technology Limited,2.29,1081.97,9.99,10805191,0.66,13.88%
27,KLTO,Klotho Neurosciences Inc,35.15,1443.71,5.34,7702809,0.48,12.18%
28,DUOG,Leverage Shares 2X Long DUOL Daily ETF,,96.32,26.61,2562578,4.85,11.14%
29,HRTX,Heron Therapeutics Inc,220.03,1653.42,5.05,8343487,1.2,11.11%
30,UOKA,MDJM Ltd,1.04,5477.48,16.34,89527915,0.21,10.18%
31,XYZG,Leverage Shares 2X Long XYZ Daily ETF,,14.13,7.06,99778,9.64,9.70%
32,CRCG,Leverage Shares 2X Long CRCL Daily ETF,,9666.64,8.25,79789305,2.62,9.62%
33,CCUP,T-REX 2X Long CRCL Daily Target ETF,,1451.53,9.4,13637472,4.41,9.28%
34,FLYU,MicroSectors Travel 3x Leveraged ETN,,1,5.81,5823,46.84,8.67%
35,CRMG,Leverage Shares 2X Long CRM Daily ETF,,539.37,7.69,4145283,7.36,7.60%
36,AERT,Aeries Technology Inc,17.57,132.26,6.41,847689,0.35,7.39%
37,JHG,Janus Henderson Group plc,8198.36,1887.43,5.43,10250292,53.21,6.10%
38,PXS,Pyxis Tankers Inc,43.1,33.24,5.55,184536,4.11,5.93%
39,NYXH,Nyxoah SA,176.44,41.39,9.61,397909,4.7,5.62%
40,NFLU,T-Rex 2X Long NFLX Daily Target ETF,,318.84,5.85,1864138,25.57,4.62%
41,HCWB,HCW Biologics Inc,3.17,75.98,11.86,901108,0.55,4.49%
42,WCLD,WisdomTree Cloud Computing Fund,,639.61,6.57,4204346,27.84,3.96%
43,TRAK,ReposiTrak Inc,161.22,91.38,5.12,467553,8.86,3.96%
44,UCYB,ProShares Ultra Nasdaq Cybersecurity ETF 2x Shares,,2.2,5.14,11311,41,3.50%
45,EDRY,EuroDry Ltd,61.12,7.6,7.33,55721,21.62,3.44%
46,NDRA,ENDRA Life Sciences Inc,4.57,44.33,100.68,4463348,3.92,2.89%
47,KORU,Direxion Daily South Korea Bull 3X Shares,,170.54,7.01,1196291,619.7,2.77%
48,SPAM,Themes Cybersecurity ETF,,1.13,8.38,9496,29.64,2.68%
49,CAPL,CrossAmerica Partners LP,772.7,35.9,7.35,263906,20.27,2.48%
50,BTOC,Armlogi Holding Corp,15.84,56.7,134.28,7612934,0.35,2.20%
51,CLOD,Themes Cloud Computing ETF,,1.05,25.48,26780,26.8,1.62%
52,RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,,47.51,8.68,412290,59.32,1.32%
53,NYAX,Nayax Ltd,1889.08,8.54,7.09,60580,51.6,1.18%
54,QMID,WisdomTree U.S. MidCap Quality Growth Fund,,0.15,10.12,1504,29.32,1.16%
55,FTXO,First Trust Nasdaq Bank ETF,,102.81,8.83,907421,39.04,1.08%
56,FLCA,Franklin FTSE Canada ETF,,49.35,7.45,367859,51.94,1.07%
57,PIPE,Invesco SteelPath MLP & Energy Infrastructure ETF,,0.96,20.71,19898,28.42,1.05%
58,FXO,First Trust Financials AlphaDEX Fund,,192.03,5.9,1132477,60.46,0.93%
59,BKMC,BNY Mellon US Mid Cap Core Equity ETF,,14.37,16.4,235755,118.69,0.92%
60,GRPM,Invesco S&P MidCap 400 GARP ETF,,16.78,5.93,99550,123.99,0.83%
61,IMCV,iShares Morningstar Mid-Cap Value ETF,,29.88,5.21,155810,89.29,0.64%
62,ACSG,American Century Small Cap Growth Insights ETF,,1.4,5.19,7258,42.84,0.63%
63,FTXR,First Trust Nasdaq Transportation ETF,,43.65,9.13,398352,43,0.63%
64,AUSF,Global X Adaptive U.S. Factor ETF,,57.8,6.33,366158,50,0.62%
65,MNSB,MainStreet Bancshares Inc,176.46,46.64,5.77,268911,22.9,0.62%
66,GTPE,Goldman Sachs MSCI World Private Equity Return Tracker ETF,,1.75,102.36,179424,54.06,0.56%
67,SMAP,Amplify Small-Mid Cap Equity ETF,,0.36,6.33,2284,26.18,0.54%
68,NUDV,Nuveen ESG Dividend ETF,,8.96,9.48,84944,32.57,0.52%
69,AIV,Apartment Investment & Management Co,832.75,2143.93,23.87,51179835,5.78,0.52%
70,HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,,2753.9,5.1,14040358,4,0.50%
71,QQLV,Invesco QQQ Low Volatility ETF,,1.18,18.01,21293,25.1,0.49%
72,XLII,State Street Industrial Select Sector SPDR Premium Income Fund,,3.97,5.3,21027,26.2,0.49%
