No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ATPC,Agape ATP Corp,3.78,830.46,74.08,61522465,3.78,87.13%
2,PLYX,Polaryx Therapeutics Inc,282.62,2523.19,9.88,24939891,5.97,69.60%
3,LGVN,Longeveron Inc,19.01,344.35,726.17,250054771,0.89,68.27%
4,DXST,Decent Holding Inc,16.09,37699.47,10.53,397065818,0.4,50.42%
5,ACXP,Acurx Pharmaceuticals Inc,7.39,177.32,191.94,34033772,2.9,48.34%
6,MGNX,Macrogenics Inc,216.98,1128.51,12.39,13987115,3.43,45.34%
7,KITT,Nauticus Robotics Inc,28.62,4514.15,14.85,67055502,1.02,42.46%
8,MRNO,Murano Global Investments PLC,69.11,3176.38,27.16,86279067,0.87,38.08%
9,ELPW,Elong Power Holding Ltd,2.27,22752.85,15.81,359786390,0.06,32.71%
10,TENX,Tenax Therapeutics Inc,90.59,254.72,8.37,2130830,14.51,31.67%
11,OCC,Optical Cable Corp,70.79,117.58,6.59,774489,7.98,30.61%
12,INKT,MiNK Therapeutics Inc,63.41,11.43,1388.95,15877599,13.51,29.28%
13,NIOG,Leverage Shares 2X Long NIO Daily ETF,,15.3,11.21,171535,18.66,28.33%
14,FCUV,Focus Universal Inc,5.51,23.81,12.81,304914,5.59,28.13%
15,PIII,P3 Health Partners Inc,26.23,51.92,17.14,889945,3.64,26.17%
16,VTAK,Catheter Precision Inc,2.88,77.77,770.24,59898672,1.72,25.55%
17,LFMD,LifeMD Inc,188.21,1067.99,5.71,6100910,3.91,25.32%
18,BRTX,BioRestorative Therapies Inc,6.15,5913.32,26.97,159465311,0.28,22.76%
19,VYGR,Voyager Therapeutics Inc,278,544.9,9.41,5129990,5,21.65%
20,FIGR,Figure Technology Solutions Inc,8536.67,4487.16,6.86,30803050,39.59,21.29%
21,ZVRA,Zevra Therapeutics Inc,622.65,894.68,10.49,9381594,11.06,21.27%
22,AHG,Akso Health Group ADR,1520.19,14.79,12.54,185555,1.78,20.27%
23,OIO,OIO Group,161,8.02,161.58,1295287,3.85,19.20%
24,RDGT,Ridgetech Inc,33.46,9.16,5.6,51347,1.83,18.99%
25,TTEC,TTEC Holdings Inc,142.78,404.32,5.01,2027544,2.94,18.07%
26,SOAR,Volato Group Inc,2.8,3724.2,5.1,18994184,0.38,16.97%
27,COOT,Australian Oilseeds Holdings Limited,18.69,289.23,17.86,5166287,0.67,16.52%
28,ARTL,Artelo Biosciences Inc,2.87,24.01,5.13,123167,4.05,15.38%
29,GOCO,GoHealth Inc,33.31,52.79,11.77,621616,2.07,14.36%
30,NUCL,Eagle Nuclear Energy Corp,60.17,75.54,6.09,460259,6.09,12.99%
31,CITR,CitroTech Inc,180.32,29.09,7.34,213492,9.59,12.96%
32,TIVC,Tivic Health Systems Inc,2.41,949.92,6.96,6615242,0.95,12.84%
33,BIAF,BioAffinity Technologies Inc,5.36,146.78,142.98,20986567,1.19,12.26%
34,CODA,Coda Octopus Group Inc,188.9,161.67,11.57,1870377,16.76,12.11%
35,HIMZ,Defiance Daily Target 2X Long HIMS ETF,,19294.73,6.67,128791686,2.27,11.82%
36,CELU,Celularity Inc,40.09,49.53,141.45,7006586,1.39,11.20%
37,SKYE,Skye Bioscience Inc,25.61,382.46,45.71,17480802,0.8,10.33%
38,CAPS,Capstone Holding Corp,6.28,165.91,29.25,4853660,0.69,9.56%
39,XCH,XCHG Ltd ADR,65.47,37.23,5.53,205971,1.6,8.11%
40,ULBI,Ultralife Corp,95.4,39.17,5.35,209654,5.73,7.61%
41,SABS,SAB Biotherapeutics Inc,195.19,352.69,5.74,2025456,4.1,6.77%
42,SSSS,SuRo Capital Corp,243.15,171.26,8.21,1406788,9.68,5.91%
43,WTIB,USCF Oil Plus Bitcoin Strategy Fund,,2.51,6.17,15505,22.02,5.79%
44,UCO,ProShares Ultra Bloomberg Crude Oil 2x Shares,,5171.6,8.68,44867166,34.26,5.06%
45,FLYD,MicroSectors Travel -3x Inverse Leveraged ETN,,1.01,24.77,25053,80.85,4.73%
46,INTT,Intest Corp,177.76,69.22,6.07,419891,14.24,4.71%
47,WTID,MicroSectorsTM Energy 3X Inverse Leveraged ETNs,,12.06,15.36,185170,5.92,4.60%
48,OCS,Oculis Holding AG,1637.91,260.81,7.73,2016836,28.65,4.49%
49,NRGD,MicroSectors U.S. Big Oil -3 Inverse Leveraged ETNs,,2.64,5.99,15802,37.97,4.37%
50,CHNR,China Natural Resources Inc,4.31,29.87,6.34,189413,3.49,3.56%
51,DBO,Invesco DB Oil Fund,,863.65,10.98,9481548,18.53,3.12%
52,NDRA,ENDRA Life Sciences Inc,4.11,99.89,7,699345,3.52,2.92%
53,BNT,Brookfield Wealth Solutions Ltd,16058.04,19.13,8.66,165618,43.19,2.81%
54,INVE,Identiv Inc,79.82,31.03,5.72,177615,3.36,1.82%
55,BNO,United States Brent Crude Oil Fund,,1755.03,7.84,13752374,43.42,1.63%
