No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ARTL,Artelo Biosciences Inc,5.18,33.95,1731.26,58783884,7.31,50.72%
2,AIM,AIM ImmunoTech Inc,4.31,1428.73,129.94,185654497,1.02,43.66%
3,ZYBT,Zhengye Biotechnology Holding Ltd,46.44,16,22.23,355550,0.98,36.10%
4,VEEE,Twin Vee PowerCats Co,3.8,4301.44,7.68,33056360,0.44,34.64%
5,CGTL,Creative Global Technology Holdings Ltd,25.98,1173,7.57,8874606,1.01,30.42%
6,PERF,Perfect Corp,177.2,102.09,62.47,6378134,1.74,28.87%
7,ATXG,Addentax Group Corp,3.73,963.54,40.6,39122281,0.32,25.60%
8,YYGH,YY Group Holding Ltd,3.29,5209.06,135.07,703575994,0.04,17.11%
9,ALDX,Aldeyra Therapeutics Inc,85.46,1868.66,8.94,16700916,1.42,14.52%
10,OVID,Ovid Therapeutics Inc,299.42,1654.09,24.65,40774844,2.3,14.43%
11,BURU,Nuburu Inc,23.19,13645.63,11.62,158606073,0.19,12.36%
12,JEM,707 Cayman Holdings Ltd,,8058.53,9.59,77315665,0.09,12.11%
13,JVA,Coffee Holding Co Inc,26.15,94.85,6.89,653516,4.58,11.17%
14,LPA,Logistic Properties of the Americas,88.46,18.54,5.07,93998,2.86,10.00%
15,LNKS,Linkers Industries Ltd,7.81,1190.88,27.7,32992483,0.58,9.74%
16,AGRO,Adecoagro S.A,1928.18,864.43,6.72,5807218,13.63,9.48%
17,HIT,Health In Tech Inc,104.14,316.29,14.11,4463636,1.83,7.65%
18,LULG,Leverage Shares 2X Long LULU Daily ETF,,29.49,8.47,249807,14.36,7.46%
19,ORIS,Oriental Rise Holdings Ltd,0.47,587.52,11.89,6983966,0.43,6.70%
20,SBDS,Solo Brands Inc,18.81,43.46,6.14,266633,7.6,6.59%
21,CHCI,Comstock Holding Co. Inc,153.53,20.37,5.78,117655,15.22,6.36%
22,CMCT,Creative Media & Community Trust,0.47,3640.58,36.12,131503867,0.17,6.34%
23,AHG,Akso Health Group ADR,2083.86,29.75,10.47,311489,2.44,5.63%
24,MDA,MDA Space Ltd,4257.65,153.31,7.53,1153680,33.66,5.58%
25,VNRX,VolitionRX Ltd,27.12,2047.2,175.71,359713898,0.2,5.26%
26,GYRO,Gyrodyne LLC,19.56,1.85,5.46,10083,8.51,4.68%
27,CXRN,Teucrium 2x Daily Corn ETF,,3.33,7.06,23526,20.55,4.58%
