No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,GV,Visionary Holdings Inc,2.49,5652.73,102.4,578840585,0.44,116.78%
2,SKYQ,Sky Quarry Inc,19.17,892.68,230.59,205840191,5.1,101.58%
3,TMDE,TMD Energy Ltd,,6887.95,12.72,87629157,1.87,76.42%
4,SELX,Semilux International Ltd,19.86,238.87,370.54,88510836,0.53,50.90%
5,COCP,Cocrystal Pharma Inc,20.81,62.36,2197.03,137005456,1.51,48.04%
6,FC,Franklin Covey Co,269.4,161.52,12.42,2006707,23.32,44.40%
7,BDRX,Biodexa Pharmaceuticals Plc ADR,1.97,251.2,482.33,121163307,0.87,42.23%
8,VSA,VisionSys AI Inc ADR,0.56,4524.7,23.02,104154989,0.71,39.23%
9,LUD,Luda Technology Group Ltd,,75.75,5,379013,4.45,38.20%
10,TURB,Turbo Energy S.A. ADR,35.04,5103.44,7.11,36267960,3.18,35.32%
11,AIXI,Xiao-I Corp ADR,1.76,6556.29,40.99,268714345,0.13,33.10%
12,PFSA,Profusa Inc,1.03,412.21,26.01,10721901,0.76,30.98%
13,SLSN,Solesence Inc,98.89,31.62,5.1,161387,1.4,30.23%
14,DLXY,Delixy Holdings Ltd,9.47,1639.18,8.67,14216337,0.58,22.56%
15,RCON,Recon Technology Ltd,11.22,41.65,41.98,1748449,0.96,21.81%
16,KODK,Eastman Kodak Co,1096.88,902.12,7.33,6609465,11.25,20.32%
17,SBAC,SBA Communications Corp,21585.1,938.89,6.99,6566286,204.04,18.93%
18,AGPU,Axe Compute Inc,22.55,1612.32,5.42,8732008,4.07,14.33%
19,VATE,Innovate Corp,106.03,20.41,5.07,103402,7.77,13.76%
20,GSAT,Globalstar Inc,9992.53,719.67,6.74,4849881,77.73,13.42%
21,LNOK,Defiance Daily Target 2X Long NOK ETF,,5.92,17.21,101960,35.04,12.35%
22,VFS,VinFast Auto Ltd,10621.39,378.37,7.12,2693661,4.54,10.73%
23,CNTB,Connect Biopharma Holdings Ltd,167.14,164.35,5.23,859183,2.99,9.93%
24,HTCO,High-Trend International Group,79.9,87.85,15.92,1398903,10.82,9.29%
25,SVC,Service Properties Trust,213.44,2658.15,31.2,82937831,1.27,7.63%
26,BTBD,BT Brands Inc,11.22,174.52,6.06,1056775,1.89,7.39%
27,TKLF,Tokyo Lifestyle Co Ltd. ADR,9.73,9.32,122.01,1137430,2.3,6.98%
28,DBE,Invesco DB Energy Fund,,56.04,9.39,526204,30.38,5.60%
29,TANH,Tantech Holdings Ltd,2.51,157.27,13.93,2190445,0.41,4.54%
30,NCT,Intercont (Cayman) Ltd,3.36,113.32,32.07,3634526,2.76,4.45%
31,IBX,Tradr 2X Long IBM Daily ETF,,1.65,5.1,8425,24.8,3.51%
