No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,MOBX,Mobix Labs Inc,115.42,15796.8,87.76,1386331312,1.12,532.77%
2,BATL,Battalion Oil Corp,455.52,9041.34,7.54,68188318,27.68,134.58%
3,TURB,Turbo Energy S.A. ADR,31.74,1990.82,16.7,33246847,2.88,110.22%
4,EDSA,Edesa Biotech Inc,36.31,2811.93,10.65,29947424,4.35,90.79%
5,NPT,Texxon Holding Ltd,228.07,691.82,22.14,15318749,10.28,81.63%
6,TPET,Trio Petroleum Corp,23.99,8392.22,36.56,306858681,1.95,74.11%
7,ZD,Ziff Davis Inc,1561.9,692.87,15.3,10602078,41.48,48.09%
8,SVRN,OceanPal Inc,19.92,464.7,236.48,109892540,0.64,47.13%
9,PLUL,Leverage Shares 2X Long PLUG Daily ETF,,16.29,7.76,126492,12.2,41.70%
10,TMDE,TMD Energy Ltd,,4817.11,12.13,58424549,4.04,32.03%
11,AURE,Aurelion Inc,103.45,85.16,5.75,489873,2.99,30.57%
12,SPWH,Sportsman's Warehouse Holdings Inc,56.95,541.95,6.61,3581755,1.48,28.70%
13,EONR,EON Resources Inc,31.96,2959.45,66.85,197825925,0.64,28.47%
14,EHTH,eHealth Inc,48.47,606.74,5.28,3202148,1.56,25.81%
15,USEG,U.S. Energy Corp,51.24,2672.37,17.78,47508506,1.43,24.35%
16,RUBI,Rubico Inc,,2031.91,27.34,55545304,1.24,22.77%
17,MGN,Megan Holdings Ltd,48.43,110.74,14.95,1655258,2.98,22.63%
18,AVXX,Defiance Daily Target 2x Long AVAV ETF,,329.34,11.08,3649371,5.62,18.57%
19,ALOY,REalloys Inc,94.62,193.67,9.81,1899242,21.12,17.66%
20,RCAX,Defiance Daily Target 2x Long RCAT ETF,,95.68,8.12,776833,20.39,15.64%
21,UOKA,MDJM Ltd,0.38,8986.14,7,62895356,0.08,15.40%
22,EDZ,Direxion Daily MSCI Emerging Markets Bear -3x Shares,,129.46,5.22,675329,28.49,14.46%
23,INGM,Ingram Micro Holding Corp,5731.07,412.8,9.68,3994342,24.38,14.19%
24,DULL,MicroSectors Gold -3X Inverse Leveraged ETNs,,17.4,5.91,102876,42.72,13.89%
25,XCH,XCHG Ltd ADR,49.92,39.35,5.33,209640,1.22,12.96%
26,MARPS,Marine Petroleum Trust,11.68,44.68,10.43,466002,5.84,12.52%
27,ONCO,Onconetix Inc,1.12,217.9,20.14,4388400,0.72,10.91%
28,PULM,Pulmatrix Inc,7.56,27.81,6.78,188455,2.07,9.52%
29,CLWT,"Euro Tech Holdings Co., Ltd",10.14,6.02,7.48,44983,1.31,9.17%
30,SEM,Select Medical Holdings Corporation,2016.53,898.62,11.87,10669743,16.26,8.40%
31,EWV,ProShares UltraShort MSCI Japan -2x Shares,,18.59,12.18,226331,21.77,7.88%
32,ADBG,Leverage Shares 2X Long ADBE Daily ETF,,995.18,5.98,5953256,5.85,7.73%
33,CCUP,T-REX 2X Long CRCL Daily Target ETF,,1690.58,5,8456248,5.63,7.03%
34,MODD,Modular Medical Inc,13.05,483.98,19.53,9452905,0.17,7.01%
35,PRSO,Peraso Inc,8.52,357.41,5.07,1813292,0.91,6.68%
36,RYOJ,rYojbaba Co. Ltd,30.93,17.09,25.3,432467,2.75,6.59%
37,HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,,3434.25,8.03,27563641,4.48,6.41%
38,FXP,ProShares UltraShort FTSE China 50,,7.16,7.27,52065,20.44,4.39%
39,AFRU,T-REX 2X Long AFRM Daily Target ETF,,74.11,5.88,435739,5.45,4.01%
40,HTO,H2O America,2046.55,348.12,7.84,2729252,56.59,4.01%
41,USO,United States Oil Fund,,7507.3,6.71,50394527,90.2,3.45%
42,DBE,Invesco DB Energy Fund,,21.22,5.94,126157,22.92,3.43%
43,UCO,ProShares Ultra Bloomberg Crude Oil 2x Shares,,3351.19,5.98,20036479,28.67,3.43%
44,BNO,United States Brent Crude Oil Fund,,956.4,7.4,7078655,38.61,3.40%
45,NRGD,MicroSectors U.S. Big Oil -3 Inverse Leveraged ETNs,,1.56,7.18,11177,38.27,3.40%
46,CRWL,GraniteShares 2x Long CRWD Daily ETF,,202,5.54,1118880,19.72,3.35%
47,WTI,W & T Offshore Inc,461.21,2247.2,6.87,15434211,3.1,3.33%
48,DBO,Invesco DB Oil Fund,,503.96,5.66,2852103,15.93,3.31%
49,SIJ,ProShares UltraShort Industrials -2x Shares,,14.49,6.22,90166,8.87,3.26%
50,WFF,WF Holding Ltd,10.58,147.32,94.25,13884852,0.42,2.44%
51,WCLD,WisdomTree Cloud Computing Fund,,764.33,5.14,3929413,28.28,1.95%
52,DUG,ProShares UltraShort Energy,,39.05,5.51,215034,20.07,1.77%
53,OILK,ProShares K-1 Free Crude Oil ETF,,80.9,7.65,618967,45.65,1.69%
54,ICRC,Bitwise CRCL Option Income Strategy ETF,,1.24,5.24,6494,27.93,1.36%
55,FLYD,MicroSectors Travel -3x Inverse Leveraged ETN,,0.75,6.29,4694,73.5,1.28%
56,DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,,8762.1,5.96,52219277,5.55,1.09%
57,MXC,Mexco Energy Corp,26.21,12.52,21.27,266315,12.81,0.87%
58,TAIL,Cambria Tail Risk ETF,,353.45,8.18,2891194,11.72,0.51%
59,PSHG,Performance Shipping Inc,29.58,96.23,11.21,1078478,2.38,0.42%
