No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,AGRZ,Agroz Inc,23.2,434.31,626.28,271998350,1.07,153.55%
2,EONR,EON Resources Inc,67.2,16372.97,11.82,193535699,1.35,51.12%
3,TLYS,Tillys Inc,73.13,286.24,164.41,47060591,2.4,47.24%
4,LWLG,Lightwave Logic Inc,1029.65,2319.17,13.58,31504958,7.08,41.04%
5,VRA,Vera Bradley Inc,94.49,401.6,11.42,4585673,3.38,35.74%
6,ATPC,Agape ATP Corp,5.65,1679.31,25.15,42241344,5.65,35.49%
7,CDXS,Codexis Inc,154.45,1384.33,29.56,40923905,1.71,34.65%
8,WOOF,Petco Health and Wellness Co Inc,908.42,1933.09,11.62,22454233,3.23,34.58%
9,BMBL,Bumble Inc,429.54,3078.82,11.12,34226316,3.81,34.15%
10,OCG,Oriental Culture Holding Ltd,1.49,1557.03,9.9,15417730,0.86,27.41%
11,FLYT,Tradr 2X Long FLY Daily ETF,,69.86,5.51,384726,11.01,26.70%
12,HYFM,Hydrofarm Holdings Group Inc,5.79,60.09,5.43,326261,1.24,24.00%
13,SPRC,SciSparc Ltd,2.68,132.95,25.62,3405675,4.73,22.86%
14,ROMA,Roma Green Finance Ltd,352.03,388.74,21.21,8244997,5.91,22.36%
15,QNTM,Quantum BioPharma Ltd,10.55,82.4,38.59,3179878,2.56,21.90%
16,WTI,W & T Offshore Inc,514.78,3656.64,6.06,22173851,3.46,21.40%
17,ALPS,ALPS Group Inc,195.52,45.24,10.45,472646,1.17,21.13%
18,NCRA,"Nocera, Inc",6.04,67.32,89.14,6001288,0.42,21.00%
19,POLA,Polar Power Inc,6.22,1429.89,25.22,36067226,2.34,20.62%
20,BNRG,Brenmiller Energy Ltd,0.7,469.7,37.03,17391690,0.98,18.67%
21,BIOX,Bioceres Crop Solutions Corp,38.28,646.2,20.05,12957779,0.61,16.71%
22,NXGL,Nexgel Inc,10.25,171.6,25.85,4435688,0.96,16.21%
23,LCUT,"Lifetime Brands, Inc",78.84,27.75,217.37,6031218,3.48,15.23%
24,COOT,Australian Oilseeds Holdings Limited,23.99,400.13,7.66,3066735,0.86,15.06%
25,LXU,"LSB Industries, Inc",1109.31,683.75,8.93,6107199,15.44,14.37%
26,MI,NFT Ltd,3.23,261.1,11.29,2947507,0.64,13.64%
27,SLAI,SOLAI Ltd. ADR,19.71,384.46,64.33,24731393,1.05,13.44%
28,SEED,Origin Agritech Ltd,17.48,79.74,7.75,617756,1.44,12.50%
29,ORBS,Eightco Holdings Inc,178.71,4545.78,66.74,303382536,0.9,11.67%
30,LANV,Lanvin Group Holdings Limited,247.92,45.23,10.32,466750,2.12,11.58%
31,JETD,MAX Airlines -3X Inverse Leveraged ETNs,,73.71,7.49,551767,5.14,11.26%
32,HIMX,Himax Technologies ADR,1766.67,1091.19,32.86,35860427,10.13,10.71%
33,CARD,MAX Auto Industry -3X Inverse Leveraged ETN,,19.16,7.8,149433,3.48,10.28%
34,FLYD,MicroSectors Travel -3x Inverse Leveraged ETN,,1.45,5.03,7291,87.24,9.64%
35,USO,United States Oil Fund,,16186.76,5.76,93315912,118.37,9.55%
36,POM,Pomdoctor Ltd. ADR,40.99,797.09,8.77,6987062,0.38,9.51%
37,CHSN,Chanson International Holding,95.11,9.64,6.87,66277,2.44,8.44%
