No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,RBNE,Robin Energy Ltd,5.91,1391.13,133.06,185101853,2.11,91.82%
2,FEED,ENvue Medical Inc,2.47,10249.92,12.8,131168993,2.26,58.04%
3,QNTM,Quantum BioPharma Ltd,19.49,157.16,18.73,2942956,4.73,52.58%
4,ANNA,AleAnna Inc,511.91,2291.87,26.67,61119122,7.68,40.79%
5,CRCD,T-REX 2X Inverse CRCL Daily Target ETF,,1972.09,11.27,22233590,6.26,40.04%
6,MKDW,MKDWELL Tech Inc,14.7,120.16,36.68,4407277,3.07,37.75%
7,CVV,CVD Equipment Corp,35.59,69.37,144.38,10015062,5.13,37.53%
8,NUCL,Eagle Nuclear Energy Corp,68.46,118.1,8.02,947118,6.93,35.09%
9,NIXX,Nixxy Inc,26.86,646.95,9.15,5919948,1.08,32.84%
10,MRLN,Merlin Inc,415.9,312.96,10.15,3177266,12.32,26.23%
11,HUBC,Hub Cyber Security Ltd,0.5,909.01,5.4,4907805,0.23,25.30%
12,PAVS,Paranovus Entertainment Technology Ltd,0.46,2920.06,171.16,499788876,0.36,21.84%
13,IONR,ioneer Ltd ADR,275.96,58.28,12.79,745548,3.59,20.88%
14,FCHL,Fitness Champs Holdings Ltd,3.33,23.82,25.41,605233,2.94,19.05%
15,ORBS,Eightco Holdings Inc,234.43,13761.66,5.73,78890298,1.18,18.50%
16,TJGC,TJGC Group Ltd,9.02,96.71,40.35,3902662,0.59,18.24%
17,ASRT,Assertio Holdings Inc,106.41,62.75,5.06,317300,16.51,17.93%
18,NAMI,Jinxin Technology Holding Co ADR,68.37,21.29,15.6,332202,1,17.65%
19,GOCO,GoHealth Inc,31.71,57.73,10.5,605947,1.97,16.57%
20,UGRO,Urban-gro Inc,5.27,2818.54,9.69,27312618,7.02,14.15%
21,PAYS,PaySign Inc,207.51,334.31,10.64,3556062,3.77,12.87%
22,EDRY,EuroDry Ltd,56.34,18.28,5.44,99344,19.93,11.40%
23,SLND,Southland Holdings Inc,70.34,134.94,7.98,1077268,1.3,11.11%
24,NTGR,Netgear Inc,687.65,490.55,6.63,3253518,24.46,10.88%
25,ONEG,OneConstruction Group Ltd,33.44,267.56,5.12,1369113,2.09,10.88%
26,VGAS,Verde Clean Fuels Inc,79.74,39.71,5.41,214886,1.79,10.49%
27,YMT,Yimutian Inc. ADR,35.05,232.09,369.99,85870210,0.33,9.93%
28,TRON,Tron Inc,680.46,984.38,6.43,6325607,2.48,9.25%
29,NAUT,Nautilus Biotechnology Inc,499.93,225.94,5.15,1164179,3.95,9.12%
30,LITB,LightInTheBox Holding Co Ltd ADR,43.22,13.37,6.16,82393,2.35,7.55%
31,SLXN,Silexion Therapeutics Corp,4.46,40.29,5.38,216818,1.34,5.51%
32,COAL,Range Global Coal Index ETF,,62.99,7.67,483451,28.3,4.81%
33,MSC,Studio City International Holdings Ltd ADR,481.03,2.97,5.04,14964,2.5,4.48%
34,PDDL,GraniteShares 2x Long PDD Daily ETF,,21.04,9.74,204799,20.17,4.36%
35,SFD,"Smithfield Foods, Inc",9623.4,879.76,5.47,4809935,24.48,4.26%
36,DVXE,WEBs Energy XLE Defined Volatility ETF,,1.06,5.77,6143,41.83,3.99%
37,HTCO,High-Trend International Group,66.61,50.54,20.31,1026473,9.02,3.92%
