No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ABTS,Abits Group Inc,9.2,10.66,3925.27,34591166,3.88,93.99%
2,MGRX,Mangoceuticals Inc,8.72,743.92,529.1,325534804,0.54,50.29%
3,CDIO,Cardio Diagnostics Holdings Inc,5.92,1720.89,47.16,67117808,3.24,44.64%
4,RXT,Rackspace Technology Inc,429.09,11552.58,19.41,185424588,1.76,43.80%
5,AIOS,AIOS Tech Inc,2.94,399.77,205.09,67807355,0.64,41.38%
6,HTLM,HomesToLife Ltd,223.32,131.55,165.68,18026086,2.49,36.06%
7,RNG,RingCentral Inc,3415.18,1792.44,6.81,10088934,39.88,35.71%
8,TNDM,Tandem Diabetes Care Inc,1654.38,1502.85,7.21,8957973,24.4,31.75%
9,GFAI,Guardforce AI Co Ltd,11.77,444.96,212.55,78217780,0.56,30.05%
10,RMSG,Real Messenger Corp,3.79,45.49,662.15,24835678,0.75,26.30%
11,JAKK,Jakks Pacific Inc,254.49,100.43,7.47,618382,22.58,24.36%
12,ASIC,Ategrity Specialty Insurance Company Holdings,1029.83,92.09,7.83,596719,21.42,22.43%
13,FNKO,Funko Inc,298.56,864.77,7.33,5241913,5.39,21.95%
14,RMNI,Rimini Street Inc,330.76,288.19,5.58,1330333,3.61,21.38%
15,ZEO,Zeo Energy Corp,68.59,123.08,14.79,1500984,1.19,20.71%
16,INSG,Inseego Corp,191.9,178.46,6.12,903855,12.52,18.56%
17,TLSI,TriSalus Life Sciences Inc,270.81,162.45,5.25,705417,5.42,17.57%
18,COHX,Tradr 2X Long COHR Daily ETF,,6.43,17.78,94207,30.12,11.97%
19,SDA,SunCar Technology Group Inc,234.62,90.8,7.1,532856,2.3,11.65%
20,ANY,Sphere 3D Corp,4.05,72.41,5.99,357890,1.2,10.09%
21,BIYA,Baiya International Group Inc,2.66,395.86,21.05,6872484,2.2,8.91%
22,JYD,Jayud Global Logistics Ltd,7.24,81.31,11.09,743593,2.65,8.61%
23,PDDL,GraniteShares 2x Long PDD Daily ETF,,14.97,6.19,76429,23.98,7.88%
24,UCAR,U Power Ltd,8.29,22.37,5.86,108053,1.49,7.19%
25,OPEG,Leverage Shares 2X Long OPEN Daily ETF,,12.62,15.59,162242,6.02,5.74%
26,EDRY,EuroDry Ltd,50.24,4.31,7.78,27737,17.77,5.18%
27,FIGG,Leverage Shares 2x Long FIG Daily ETF,,814.5,8.15,5474870,2.06,5.09%
