No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,CYCN,Cyclerion Therapeutics Inc,26.05,1510.27,285.28,218849531,6.64,328.39%
2,AGPU,Axe Compute Inc,11.59,128.64,947.9,61937324,3.41,110.80%
3,UCAR,U Power Ltd,1.47,1288.76,200.64,131341608,0.69,80.79%
4,MGRT,Mega Fortune Co Ltd,158,55.56,44.21,1247508,11.49,77.86%
5,RYM,RYTHM Inc,56.09,14.58,21.06,155996,26.1,42.62%
6,TH,Target Hospitality Corp,1279.86,415.3,32.53,6861637,12.78,37.70%
7,RENX,RenX Enterprises Corp,5.5,1565.86,98.64,78456413,2.37,33.16%
8,CETX,Cemtrex Inc,8.36,1895.65,16.46,15852434,0.83,32.77%
9,BCG,Binah Capital Group Inc,43.66,34,1603.82,27701608,2.63,30.85%
10,HPAI,Helport AI Ltd,71.5,5.92,916.64,2745179,1.91,27.33%
11,DEFT,DeFi Technologies Inc,271.2,3963.74,36.48,73445402,0.7,27.20%
12,MLGO,MicroAlgo Inc,54.56,142.85,21.34,1540731,4.39,26.06%
13,LOCL,Local Bounti Corp,32.26,18.49,42.68,398876,1.44,24.14%
14,GURE,Gulf Resources Inc,10.51,26.61,5.21,70022,7.6,21.60%
15,YXT,Yxt.Com Group Holding Ltd. ADR,76.42,44.81,10.79,244369,0.42,21.11%
16,PLU,Defiance Daily Target 2x Long PL ETF,,134.39,5.36,364049,29.92,20.65%
17,SHAZ,SharonAI Holdings Inc,441.42,169.15,6.37,544304,27.36,20.36%
18,AERT,Aeries Technology Inc,18.83,537.39,7.83,2137377,0.38,19.81%
19,SCNI,Scinai Immunotherapeutics Ltd ADR,0.57,42.06,28.74,611217,0.67,17.84%
20,ELAB,PMGC Holdings Inc,8.09,3763.2,8.95,17117570,6.98,16.53%
21,LWAY,"Lifeway Foods, Inc",337.83,51.44,6.09,158247,22.3,15.31%
22,TBH,Brag House Holdings Inc,6.44,305.49,13.28,2050460,0.31,15.15%
23,MRVU,Direxion Daily MRVL Bull 2X ETF,,24.89,7.75,97573,38.48,14.44%
24,NCNO,Ncino Inc,1929,2271.23,6.67,7689543,16.82,12.28%
25,NRGD,MicroSectors U.S. Big Oil -3 Inverse Leveraged ETNs,,8.89,5.95,26868,27.97,11.84%
26,SNOA,Sonoma Pharmaceuticals Inc,4.12,21.08,5.44,58015,2.38,11.74%
27,WTID,MicroSectorsTM Energy 3X Inverse Leveraged ETNs,,61.05,6.03,186244,4.55,11.52%
28,MSC,Studio City International Holdings Ltd ADR,520.61,5.99,5.09,15401,2.7,11.24%
29,LICN,Lichen International Ltd,106.95,20.58,8.25,85797,6.55,11.02%
30,OILD,MicroSectors Oil & Gas Exploration & Production -3X Inverse Leveraged,,66.79,5.44,183807,40.99,10.43%
31,GNS,Genius Group Ltd,29.2,877.13,5.57,2470213,0.36,9.68%
32,DNNG,Leverage Shares 2x Long DNN Daily ETF,,2.52,9.03,11502,12.09,9.23%
33,NBTX,Nanobiotix ADR,1630.41,44.99,5.15,117053,33.7,9.17%
34,JBIO,Jade Biosciences Inc,747.26,336.1,9.13,1559268,15.15,7.85%
35,ERY,Direxion Daily Energy Bear 2X ETF,,1687.37,8.89,7582750,11.05,7.49%
36,NSYS,Nortech Systems Inc,36.22,8.47,16.04,68671,13,6.65%
37,CYAB,Cyabra Inc,4.83,55.61,15.78,443578,1.97,6.49%
38,VHC,Virnetx Holding Corp,62.83,18.23,16.04,147795,15.01,6.38%
39,HUHU,HUHUTECH International Group Inc,218.62,13.35,7.33,49449,9.07,6.08%
40,XOMZ,Direxion Daily XOM Bear 1X ETF,,6.45,22.5,73749,15.96,4.66%
41,QULL,ETRACS 2x Leveraged MSCI US Quality Factor TR ETN,,0.09,6.47,304,53.5,4.57%
42,CLST,Catalyst Bancorp Inc,70.96,4.68,6.67,15776,17.25,4.17%
43,PEPG,PepGen Inc,126.82,1172.92,5,2979654,1.84,3.67%
44,BMRA,Biomerica Inc,6.61,20.41,12.35,127431,2.19,3.30%
45,MYSE,Myseum Inc,6.89,57.4,8.65,251099,1.62,3.18%
46,VALN,Valneva SE ADR,554.1,54.06,6.73,183820,6.44,3.04%
