No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,ACLX,Arcellx Inc,6577.34,1073.97,30.64,32901018,113.75,77.43%
2,TIRX,Tian Ruixiang Holdings Ltd,6.22,39362.89,18.31,720643908,0.08,72.73%
3,KLTO,Klotho Neurosciences Inc,30.15,718.58,49.09,35276386,0.41,62.25%
4,ALUR,Allurion Technologies Inc,21.48,97.77,1374.61,134390802,1.75,60.55%
5,YMAT,J-Star Holding Co Ltd,10.2,82.41,865.61,71334794,0.59,59.07%
6,SGN,Signing Day Sports Inc,23.78,34530.33,8.85,305588681,0.81,56.58%
7,EZRA,Reliance Global Group Inc,2.8,8601.61,20.24,174137464,0.26,43.07%
8,VNDA,Vanda Pharmaceuticals Inc,481.73,1834.43,26.1,47885210,8.15,41.49%
9,STFS,Star Fashion Culture Holdings Ltd,4.77,3591.39,20.95,75223408,0.1,28.21%
10,GNPX,Genprex Inc,5.27,715.09,12.93,9246555,2.27,27.53%
11,ASPS,Altisource Portfolio Solutions S.A,73.88,24.28,6.11,148317,6.72,26.79%
12,GFAI,Guardforce AI Co Ltd,14.2,1769.12,10.73,18975410,0.68,26.42%
13,EHAB,Enhabit Inc,688.25,543.24,23.74,12897526,13.6,22.63%
14,FFAI,Faraday Future Intelligent Electric Inc,107.83,8844.08,7.57,66953667,0.52,17.40%
15,NCI,Neo Concept International Group Holdings Ltd,28.28,2830.07,5.77,16336995,6.96,16.97%
16,ZEO,Zeo Energy Corp,86.87,161.45,6.56,1058937,1.51,16.15%
17,TOMZ,TOMI Environmental Solutions Inc,15.98,18.18,920.06,16722767,0.79,12.70%
18,VRE,Veris Residential Inc,1757.35,788,25.43,20036200,18.81,12.16%
19,FLYD,MicroSectors Travel -3x Inverse Leveraged ETN,,5.85,6.1,35646,7.79,11.69%
20,PYPG,Leverage Shares 2X Long PYPL Daily ETF,,580.2,9.54,5535360,5.74,11.67%
21,BNKD,MicroSectors U.S. Big Banks -3 Inverse Leveraged ETNs,,1.31,7.2,9443,10.55,11.10%
22,PFX,PhenixFIN Corp,92.91,1.27,12.92,16407,46.49,10.17%
23,HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,,2395.23,5.21,12487377,4.44,8.82%
24,EDRY,EuroDry Ltd,56.11,4.92,9.2,45245,19.85,7.30%
25,JETD,MAX Airlines -3X Inverse Leveraged ETNs,,33.31,11.62,387278,3.63,6.76%
26,FF,Futurefuel Corp,200.62,228.6,5.92,1353488,4.58,5.77%
27,PYPY,YieldMax PYPL Option Income Strategy ETF,,9.93,6.12,60781,29.9,5.47%
28,SPAI,Safe Pro Group Inc,83.05,337.74,6.18,2085732,3.96,5.32%
29,COPZ,Defiance Daily Target 2x Long Copper ETF,,3.39,5.1,17285,22.98,4.17%
30,FBIO,Fortress Biotech Inc,107.08,734.99,22.56,16579712,3.45,2.68%
31,IKT,Inhibikase Therapeutics Inc,218.28,650.94,64.11,41729921,1.8,2.27%
32,RAAQ,Real Asset Acquisition Corp,241.5,35.23,47.13,1660154,10.5,1.94%
33,DVXV,WEBs Health Care XLV Defined Volatility ETF,,0.26,5.5,1407,32.14,1.21%
34,GQGU,GQG US Equity ETF,,79.93,17.5,1399056,27.12,1.19%
35,RBLY,YieldMax RBLX Option Income Strategy ETF,,7.88,7.19,56654,21.59,0.79%
36,DVXE,WEBs Energy XLE Defined Volatility ETF,,0.17,9.77,1703,35.1,0.72%
37,MOOD,Relative Sentiment Tactical Allocation ETF,,24.8,5,124080,42.95,0.59%
38,XVOL,Acruence Active Hedge U.S. Equity ETF,,0.08,29.93,2405,23.8,0.40%
39,BITC,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF,,8.63,5.67,48984,36.35,0.38%
40,QBER,TrueShares Quarterly Bear Hedge ETF,,53.69,8.64,463903,23.94,0.38%
41,MAMB,Monarch Ambassador Income Index ETF,,23.68,7.05,166802,24.76,0.32%
42,GEMD,Goldman Sachs Access Emerging Markets USD Bond ETF,,4.31,26.03,112110,43.13,0.30%
43,MSS,Maison Solutions Inc,7.58,654.77,6.02,3938573,0.31,0.29%
44,GMEY,YieldMax GME Option Income Strategy ETF,,6.34,9.49,60132,35.77,0.25%
45,FLSP,Franklin Systematic Style Premia ETF,,50.05,16.96,848630,27.42,0.22%
46,PCRB,Putnam ESG Core Bond ETF,,18.6,327.3,6088023,49.78,0.21%
47,SDFI,AB Short Duration Income ETF,,22.16,6.74,149406,35.97,0.21%
48,SIO,Touchstone Strategic Income ETF,,18.05,9.51,171660,26.28,0.18%
49,RSMV,Relative Strength Managed Volatility Strategy ETF,,9.85,12.05,118778,27.75,0.16%
50,OCTJ,Innovator Premium Income 30 Barrier ETF - October,,2.41,5.55,13398,24.09,0.10%
51,DMAA,Drugs Made In America Acquisition Corp,350.59,31.34,6.59,206647,10.46,0.10%
52,QSIG,WisdomTree U.S. Short-Term Corporate Bond Fund,,4.84,26.47,128063,49.22,0.06%
53,HIYY,YieldMax HIMS Option Income Strategy ETF,,14.19,31.36,444945,11.91,0.04%
54,ZMUN,F/m Ultrashort Tax-Free Municipal ETF,,1.6,14.45,23107,50.18,0.03%
55,PULT,Putnam ESG Ultra Short ETF,,9.42,113.26,1066514,50.58,0.01%
56,PIPE,Invesco SteelPath MLP & Energy Infrastructure ETF,,0.59,9.54,5591,28.15,0.01%
