No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,EEIQ,EpicQuest Education Group International Limited,12.49,47.12,2385.39,112395650,8.44,209.15%
2,VSA,VisionSys AI Inc ADR,1.08,88.78,1253.74,111302452,1.37,140.35%
3,FCHL,Fitness Champs Holdings Ltd,4.03,358.9,129.99,46652625,3.55,107.60%
4,AIFF,Firefly Neuroscience Inc,42.93,8308.99,13.16,109339487,3.02,79.76%
5,KOD,Kodiak Sciences Inc,2427.28,727.58,18.07,13145938,39.76,74.77%
6,NDLS,Noodles & Company,55.18,49.91,33.4,1666813,9.43,55.61%
7,OLPX,Olaplex Holdings Inc,1345.51,1855.34,56.4,104636690,2.01,51.13%
8,NAVN,Navan Inc,3259.72,1746.79,12.11,21159412,13.11,43.28%
9,BZAI,Blaize Holdings Inc,214.8,3735.39,8.05,30058352,1.75,41.13%
10,HWH,HWH International Inc,13.15,38.63,18.89,729830,1.76,34.34%
11,LIQT,LiqTech International Inc,17.71,19.63,53.66,1053116,1.78,31.85%
12,LICN,Lichen International Ltd,88.08,17.27,6.23,107531,5.39,26.64%
13,PGEN,Precigen Inc,1379.92,4061.51,5.78,23489468,3.9,25.81%
14,INEO,INNEOVA Holdings Ltd,9.58,160.42,79.92,12820468,0.58,23.80%
15,LNAI,Lunai Bioworks Inc,11.94,11688.44,21.93,256359566,0.49,22.94%
16,ICU,SeaStar Medical Holding Corp,10.6,103.27,5.59,577170,2.79,22.37%
17,SLND,Southland Holdings Inc,87.12,221.85,36.89,8185057,1.61,21.97%
18,PROP,Prairie Operating Co,121.68,2236.33,5.4,12078268,2.04,13.97%
19,CAR,Avis Budget Group Inc,4921.4,679.73,5.15,3502533,139.58,12.97%
20,WAFU,Wah Fu Education Group Ltd,7.59,9.92,7.81,77478,1.72,12.42%
21,CNTB,Connect Biopharma Holdings Ltd,206.27,112.28,5.51,618660,3.69,9.82%
22,BF-B,Brown-Forman Corp,11879.7,5428.34,5.54,30075283,25.74,9.58%
23,BF-A,Brown-Forman Corp,11801.62,216.54,5.42,1174490,25.99,8.88%
24,IZM,Iczoom Group Inc,5.44,66.64,5.83,388504,0.45,7.64%
25,ONCO,Onconetix Inc,2.31,71.11,6.2,441250,3.22,6.27%
26,MSC,Studio City International Holdings Ltd ADR,510.36,3.29,6.02,19798,2.65,6.00%
27,TTXD,Direxion Daily Technology Top 5 Bear 2X ETF,,2.16,8.78,18980,38.51,5.95%
28,SPPL,Simpple Ltd,9.8,9.67,6.51,62893,2.01,5.79%
29,ASRT,Assertio Holdings Inc,125.88,70.98,6.01,426509,19.53,5.17%
30,PBRG,Leverage Shares 2X Long PBR Daily ETF,,5.22,6.42,33537,44.5,4.85%
31,LOOP,Loop Industries Inc,65.74,57.43,8.74,501906,1.36,4.62%
32,EFU,ProShares UltraShort MSCI EAFE -2x Shares,,10.65,8.13,86657,9.23,4.18%
33,TBH,Brag House Holdings Inc,5.97,267.99,8.25,2209693,0.28,3.64%
34,EUM,ProShares Short MSCI Emerging Markets -1x Shares,,105.78,7.29,771331,19.72,3.63%
35,PAYS,PaySign Inc,293.38,539.09,5.57,3001351,5.33,3.50%
36,YAAS,Youxin Technology Ltd,11.04,63.76,5.13,327405,0.98,3.29%
37,DVXE,WEBs Energy XLE Defined Volatility ETF,,1.46,5.58,8162,42.7,3.02%
