No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,XWEL,XWELL Inc,6.98,1216.21,289.81,352466615,1.21,220.11%
2,BRAI,Braiin Ltd,1700.33,41.65,20.59,857555,24.75,79.35%
3,CRCG,Leverage Shares 2X Long CRCL Daily ETF,,8845.68,6.41,56704217,2.39,71.94%
4,PXIU,T-REX 2X Long UPXI Daily Target ETF,,528.22,7.75,4093501,0.22,71.19%
5,CCUP,T-REX 2X Long CRCL Daily Target ETF,,1241.27,11.04,13705276,4.03,70.76%
6,CRCA,ProShares Ultra CRCL,,12390.05,5.96,73787844,3.65,69.77%
7,LRMR,Larimar Therapeutics Inc,509.27,2339.25,34.58,80886951,5.95,61.25%
8,VSME,Vs Media Holdings Ltd,5.06,413.47,45.3,18730605,1.84,52.07%
9,RYAM,Rayonier Advanced Materials Inc,685.47,696.59,9.37,6526238,10.23,42.68%
10,NVTX,Tradr 2X Long NVTS Daily ETF,,165.85,5.03,833987,30.75,40.03%
11,YOU,Clear Secure Inc,6193.29,1429.13,6.61,9452305,46.51,38.96%
12,RCKY,"Rocky Brands, Inc",344.7,33.88,10.48,354897,46,37.35%
13,CRCL,Circle Internet Group Inc,19556.25,11300.61,5.64,63778146,83.05,35.33%
14,BESS,Bimergen Energy Corp,23.56,26.86,17.72,475892,3.35,34.53%
15,AXUP,T-REX 2X Long AXON Daily Target ETF,,26.01,15.87,412639,9.55,33.94%
16,CAVA,Cava Group Inc,9948.13,3548.06,5,17756319,85.77,26.50%
17,HCWC,Healthy Choice Wellness Corp,6.27,667.88,63.1,42145619,0.35,25.90%
18,RETO,ReTo Eco-Solutions Inc,2.4,423.74,48.73,20650871,0.84,25.43%
19,AREB,American Rebel Holdings Inc,1.99,1843.47,22.32,41138913,0.19,24.33%
20,CLDX,Celldex Therapeutics Inc,2047.97,702.19,5.41,3796774,30.82,24.07%
21,UOKA,MDJM Ltd,0.94,2991.72,50.27,150394613,0.19,23.93%
22,AXON,Axon Enterprise Inc,41047.64,877.73,5.04,4421454,520.18,17.55%
23,TSUI,21Shares Sui ETF,,0.45,36.14,16081,20.25,16.73%
24,MIMI,Mint Inc Ltd,9.62,6724.53,5.9,39699974,0.38,16.67%
25,KIDZ,Classover Holdings Inc,3.33,9621.85,31.97,307640609,0.11,13.38%
26,JAZZ,Jazz Pharmaceuticals plc,11960.4,978.34,5.72,5592124,196.83,13.23%
27,OGEN,Oragenics Inc,3.3,354.1,18.22,6451207,0.79,12.24%
28,SOLM,Amplify Solana 3% Monthly Option Income ETF,,3.29,6.04,19882,12.44,11.35%
29,QH,Quhuo Ltd ADR,1.11,367.28,45.14,16579195,1.12,10.89%
30,ANY,Sphere 3D Corp,4.86,87.45,9.44,825773,1.44,10.34%
31,TRI,Thomson-Reuters Corp,44208.2,1870.83,5.6,10473167,99.38,10.31%
32,MNY,MoneyHero Ltd,66.61,59.94,5.43,325385,1.51,10.22%
33,SLDE,Slide Insurance Holdings Inc,2422.41,1058.61,5.74,6079127,19.49,9.68%
34,CECO,Ceco Environmental Corp,2309.89,325.63,6.7,2182966,64.81,8.02%
35,GEMG,Leverage Shares 2X Long GEMI Daily ETF,,50.79,5.09,258551,1.4,7.24%
36,CRMG,Leverage Shares 2X Long CRM Daily ETF,,485.7,6.85,3327012,6.84,6.88%
37,MEHA,Functional Brands Inc,3.84,1187.57,6.06,7192506,0.23,5.38%
38,ZURA,Zura Bio Ltd,455.17,606.44,5.46,3311436,7,4.63%
39,ANPA,Rich Sparkle Holdings Ltd,163.26,244.96,5.02,1228574,13.06,4.40%
40,CURX,Curanex Pharmaceuticals Inc,8.95,201.74,186.53,37630818,0.32,4.26%
41,PSIG,PS International Group Ltd,49.93,75.12,5.39,404883,5.79,3.95%
42,NXPL,NextPlat Corp,13.42,105.82,227.7,24094277,0.51,3.87%
43,FRDU,Direxion Daily F Bull 2X ETF,,1.89,13.31,25152,38.83,2.92%
44,INGN,Inogen Inc,163.17,208.38,5.17,1077501,6.01,2.91%
45,MMA,Mixed Martial Arts Group Ltd,13.82,265,5.08,1345291,0.52,2.90%
46,EDRY,EuroDry Ltd,59.08,6.52,10.26,66908,20.9,2.65%
47,TTDU,T-REX 2X Long TTD Daily Target ETF,,98.71,10.23,1009704,6.53,2.51%
48,WDAY,Workday Inc,35018.45,3944.75,5.67,22351000,133.15,2.24%
49,FDND,FT Vest Dow Jones Internet & Target Income ETF,,3.24,13.26,42983,19.84,2.09%
50,FTXO,First Trust Nasdaq Bank ETF,,60.44,43.87,2651614,38.62,2.06%
51,SDA,SunCar Technology Group Inc,243.8,101.87,7.27,740384,2.39,1.70%
52,RMI,RiverNorth Opportunistic Municipal Income Fund Inc,100.96,30.65,15.45,473518,15.85,1.60%
53,NITE,The Nightview Fund NITE,,2.01,5.27,10590,35.74,1.49%
54,PFUT,Putnam Sustainable Future ETF,,106.46,49.85,5306783,25,1.42%
55,EMSF,Matthews Emerging Markets Sustainable Future Active ETF,,4.25,5.9,25071,34.88,1.41%
56,NVDO,Leverage Shares 2x Capped Accelerated NVDA Monthly ETF,,0.44,5.39,2375,20.48,1.32%
57,ZTEK,Zentek Ltd,61.32,70.91,21.48,1523103,0.57,1.22%
